"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"E1",85,80597.5,948.206,3823890,44986.9,457.889,5.38693,,,
1,"E3",71,61732.5,869.472,3139370,44216.4,366.716,5.16501,,,
1,"E4",448,319451,713.06,1.50556E+07,33606.2,2358.24,5.26393,,,
1,"E5",2,2271.72,1135.86,235805,117903,22.8528,11.4264,,,
1,"E6",67,86062.8,1284.52,4792840,71534.9,391.473,5.84288,,,
1,"E7",176,231017,1312.59,1.23155E+07,69974.5,1008.74,5.73146,,,
1,"E8",784,1467070,1871.27,8.10595E+07,103392,4961.2,6.32806,,,
1,"E9",802,1626450,2027.99,9.44055E+07,117713,5280.07,6.58363,,,
1,"E10",1192,2618950,2197.11,1.53681E+08,128927,7947.78,6.6676,,,
1,"E11",1257,2846570,2264.57,1.66632E+08,132563,8337.46,6.63283,,,
1,"E12",386,703400,1822.28,4.17266E+07,108100,2552.02,6.61144,,,
1,"E2",,,,,,,,,,
2,"E1",713,734843,1030.64,3.64873E+07,51174.3,4087.79,5.73323,,,
2,"E3",963,1123000,1166.15,5.69135E+07,59100.2,5639.76,5.85645,,,
2,"E4",1683,1177310,699.534,5.59349E+07,33235.2,9072.32,5.39057,,,
2,"E5",351,614654,1751.15,3.30327E+07,94110.3,2155.78,6.14183,,,
2,"E6",813,1457800,1793.11,7.79815E+07,95918.2,4948.7,6.08697,,,
2,"E7",1267,2304180,1818.61,1.20628E+08,95207.7,7535,5.94712,,,
2,"E8",1660,3352080,2019.33,1.82085E+08,109690,10541.3,6.3502,,,
2,"E9",1599,3583810,2241.28,1.98467E+08,124120,10203.9,6.38142,,,
2,"E10",2787,6727600,2413.92,3.87489E+08,139034,18489.6,6.63422,,,
2,"E11",1941,4790990,2468.31,2.71854E+08,140059,12756,6.57188,,,
2,"E12",1279,2701580,2112.26,1.52788E+08,119459,8220.94,6.42763,,,
2,"E2",,,,,,,,,,
3,"E1",1389,1451930,1045.31,7.19139E+07,51773.9,8005.38,5.76341,,,
3,"E3",1790,2091620,1168.5,1.0542E+08,58893.7,10472.5,5.85058,,,
3,"E4",2319,1528260,659.018,7.2268E+07,31163.4,12405.4,5.34945,,,
3,"E5",903,1615280,1788.79,8.48954E+07,94014.8,5414.21,5.9958,,,
3,"E6",1496,2784100,1861.03,1.44985E+08,96915.2,8921.16,5.96334,,,
3,"E7",2045,3851730,1883.49,1.9709E+08,96376.6,12034.9,5.88502,,,
3,"E8",1900,3789900,1994.68,2.01691E+08,106153,11871.8,6.24831,,,
3,"E9",2144,4763340,2221.71,2.60246E+08,121383,13570.2,6.32937,,,
3,"E10",3808,9309660,2444.76,5.23534E+08,137483,24809.7,6.51515,,,
3,"E11",2598,6218720,2393.66,3.50837E+08,135041,17020.1,6.55123,,,
3,"E12",1880,4138680,2201.42,2.30011E+08,122346,12058.4,6.41405,,,
3,"E2",,,,,,,,,,
4,"E1",1852,1951340,1053.64,9.65842E+07,52151.3,10702.1,5.77869,,,
4,"E3",2412,2843130,1178.75,1.41688E+08,58743,13988.4,5.79951,,,
4,"E4",2626,1807650,688.366,8.42048E+07,32065.8,13843.2,5.27159,,,
4,"E5",1324,2418730,1826.83,1.26359E+08,95437,7930.75,5.99,,,
4,"E6",1959,3658150,1867.36,1.88238E+08,96088.8,11615.6,5.92938,,,
4,"E7",2485,4618780,1858.66,2.35706E+08,94851.7,14566.8,5.86187,,,
4,"E8",2044,4006070,1959.92,2.12284E+08,103857,12700.1,6.21335,,,
4,"E9",2579,5662680,2195.69,3.0719E+08,119112,16249.2,6.30057,,,
4,"E10",4459,1.09533E+07,2456.44,6.0939E+08,136665,28826.4,6.46477,,,
4,"E11",3098,7483490,2415.59,4.19755E+08,135492,20196.4,6.51917,,,
4,"E12",2272,4924070,2167.28,2.70642E+08,119120,14428.9,6.35076,,,
4,"E2",,,,,,,,,,
5,"E1",2175,2256720,1037.57,1.12467E+08,51708.8,12613.9,5.7995,,,
5,"E3",2828,3277380,1158.9,1.62943E+08,57617.8,16378.2,5.79144,,,
5,"E4",2779,1932780,695.494,8.92411E+07,32112.7,14554.3,5.23723,,,
5,"E5",1667,3095970,1857.21,1.62714E+08,97608.8,10055.6,6.03215,,,
5,"E6",2263,4202600,1857.09,2.1458E+08,94820.8,13330.9,5.89082,,,
5,"E7",2770,5093260,1838.72,2.58757E+08,93414,16193.1,5.84589,,,
5,"E8",2134,4123770,1932.41,2.17015E+08,101694,13178.7,6.17558,,,
5,"E9",2943,6373050,2165.5,3.43637E+08,116764,18415,6.2572,,,
5,"E10",4828,1.1705E+07,2424.41,6.50415E+08,134717,31151.6,6.45227,,,
5,"E11",3469,8435330,2431.63,4.72539E+08,136218,22584.2,6.51028,,,
5,"E12",2524,5523090,2188.23,2.97312E+08,117794,15675.2,6.21047,,,
5,"E2",,,,,,,,,,
6,"E1",2426,2557710,1054.29,1.26856E+08,52290,14026.7,5.78184,,,
6,"E3",3169,3703440,1168.65,1.83289E+08,57838.1,18271.5,5.76571,,,
6,"E4",2872,1983530,690.646,9.21126E+07,32072.6,15093.2,5.25529,,,
6,"E5",1951,3596460,1843.39,1.91071E+08,97935.1,11913.7,6.10645,,,
6,"E6",2494,4540390,1820.53,2.30554E+08,92443.5,14612,5.85886,,,
6,"E7",3027,5659180,1869.57,2.87924E+08,95118.5,17706.5,5.84953,,,
6,"E8",2170,4161950,1917.95,2.19418E+08,101114,13431.4,6.18957,,,
6,"E9",3151,6958450,2208.33,3.79313E+08,120379,19966.9,6.33669,,,
6,"E10",5057,1.21889E+07,2410.3,6.75826E+08,133642,32620.9,6.45065,,,
6,"E11",3736,8862500,2372.19,4.9451E+08,132363,24268.5,6.49585,,,
6,"E12",2666,5788040,2171.06,3.09632E+08,116141,16453.7,6.17167,,,
6,"E2",,,,,,,,,,
7,"E1",2671,2981270,1116.16,1.47353E+08,55167.6,15367.3,5.7534,,,
7,"E3",3336,3970570,1190.22,1.97217E+08,59117.9,19314.1,5.78959,,,
7,"E4",2987,2133410,714.232,9.65014E+07,32307.1,15272.2,5.1129,,,
7,"E5",2179,3979890,1826.47,2.11282E+08,96962.9,13324.7,6.11507,,,
7,"E6",2642,4812790,1821.65,2.4724E+08,93580.7,15650.4,5.92368,,,
7,"E7",3263,6043580,1852.15,3.06811E+08,94027.4,19069.1,5.84404,,,
7,"E8",2198,4110510,1870.11,2.16845E+08,98655.5,13625.7,6.19916,,,
7,"E9",3326,7324130,2202.08,3.96572E+08,119234,20957.7,6.30117,,,
7,"E10",5237,1.26311E+07,2411.89,6.88106E+08,131393,33210.9,6.3416,,,
7,"E11",3949,9481400,2400.96,5.30714E+08,134392,25745.8,6.51958,,,
7,"E12",2822,6115150,2166.96,3.25411E+08,115312,17344.2,6.14607,,,
7,"E2",,,,,,,,,,
8,"E1",2872,3202640,1115.13,1.57586E+08,54869.8,16462.2,5.73197,,,
8,"E3",3500,4107280,1173.51,2.05085E+08,58595.8,20380.8,5.82308,,,
8,"E4",2991,2159080,721.86,9.84749E+07,32923.8,15475.6,5.17407,,,
8,"E5",2344,4322390,1844.02,2.27902E+08,97227.7,14246,6.07764,,,
8,"E6",2766,4906580,1773.89,2.48911E+08,89989.4,16204.3,5.85839,,,
8,"E7",3448,6372900,1848.29,3.21756E+08,93316.6,20008.9,5.80306,,,
8,"E8",2205,3902880,1770.01,2.07278E+08,94003.5,13740.5,6.23151,,,
8,"E9",3484,7500790,2152.93,4.09936E+08,117662,22108.5,6.34573,,,
8,"E10",5339,1.28562E+07,2407.99,7.00448E+08,131195,33875.1,6.34484,,,
8,"E11",4146,9877950,2382.53,5.50769E+08,132843,26945.6,6.49918,,,
8,"E12",2922,6298800,2155.65,3.3519E+08,114712,17987.4,6.15586,,,
8,"E2",,,,,,,,,,
9,"E1",3057,3260710,1066.64,1.62109E+08,53028.6,17658.8,5.77651,,,
9,"E2",1,1138.47,1138.47,51231,51231,5.35612,5.35612,,,
9,"E3",3567,4210720,1180.46,2.11687E+08,59346.1,20948.5,5.87287,,,
9,"E4",2991,2013020,673.027,9.4927E+07,31737.5,15880.6,5.30945,,,
9,"E5",2449,4510370,1841.72,2.3565E+08,96223,14747.1,6.02167,,,
9,"E6",2881,5256920,1824.69,2.64123E+08,91677.5,16691.4,5.7936,,,
9,"E7",3621,6413590,1771.22,3.26797E+08,90250.6,21266,5.87295,,,
9,"E8",2227,4149270,1863.17,2.17837E+08,97816.2,13738.9,6.16926,,,
9,"E9",3633,7947580,2187.61,4.23051E+08,116447,22498.3,6.19277,,,
9,"E10",5381,1.25949E+07,2340.62,6.87571E+08,127778,34232.1,6.36166,,,
9,"E11",4365,1.01203E+07,2318.5,5.59278E+08,128128,28068.5,6.43035,,,
9,"E12",2999,6349720,2117.28,3.3577E+08,111961,18368.7,6.12493,,,
10,"E1",3209,3730020,1162.36,1.83762E+08,57264.6,18421.7,5.74065,,,
10,"E2",1,1070.6,1070.6,44965,44965,4.99905,4.99905,,,
10,"E3",3652,4430660,1213.21,2.18779E+08,59906.6,20999.8,5.75022,,,
10,"E4",3049,2222710,728.996,1.01791E+08,33384.9,15855.8,5.20033,,,
10,"E5",2588,4749400,1835.16,2.47116E+08,95485.4,15506.5,5.99168,,,
10,"E6",2939,5177310,1761.59,2.62018E+08,89152,17167.9,5.84142,,,
10,"E7",3774,6898620,1827.93,3.47823E+08,92162.9,21897,5.80207,,,
10,"E8",2246,4260790,1897.06,2.21794E+08,98750.6,13711.3,6.10477,,,
10,"E9",3723,8155950,2190.69,4.34258E+08,116642,23080.4,6.1994,,,
10,"E10",5443,1.3039E+07,2395.56,7.07257E+08,129939,34423.6,6.32438,,,
10,"E11",4549,1.07274E+07,2358.2,5.89494E+08,129588,29100.9,6.39721,,,
10,"E12",3052,6519160,2136.03,3.43803E+08,112648,18600,6.09438,,,
11,"E1",3315,3942930,1189.42,1.96297E+08,59214.9,19203,5.79277,,,
11,"E2",2,2739.81,1369.91,120345,60172.5,10.3552,5.17759,,,
11,"E3",3696,4488030,1214.29,2.20938E+08,59777.5,21210,5.73864,,,
11,"E4",3070,2267790,738.693,1.046E+08,34071.6,16096.9,5.2433,,,
11,"E5",2709,4968210,1833.97,2.58547E+08,95439.9,16207.6,5.98288,,,
11,"E6",3009,5299420,1761.19,2.67924E+08,89040.9,17562.6,5.83669,,,
11,"E7",3865,7137200,1846.62,3.59698E+08,93065.5,22448.6,5.80817,,,
11,"E8",2246,4184920,1863.28,2.20153E+08,98020.2,13885.9,6.18252,,,
11,"E9",3790,8225370,2170.28,4.42317E+08,116706,23712.9,6.2567,,,
11,"E10",5496,1.31132E+07,2385.95,7.10034E+08,129191,34707.7,6.31508,,,
11,"E11",4677,1.05399E+07,2253.56,5.79526E+08,123910,29963.1,6.40648,,,
11,"E12",3093,6651760,2150.58,3.50211E+08,113227,18885.5,6.10587,,,
12,"E1",3421,3657630,1069.17,1.84138E+08,53825.8,20027,5.85414,,,
12,"E2",2,2336.73,1168.36,123102,61551,12.4976,6.24881,,,
12,"E3",3709,4595980,1239.14,2.29036E+08,61751.3,21556,5.81182,,,
12,"E4",3129,2349580,750.903,1.08009E+08,34518.7,16356.1,5.22725,,,
12,"E5",2777,5117520,1842.82,2.67764E+08,96422,16726.8,6.02334,,,
12,"E6",3040,5397450,1775.48,2.71068E+08,89167,17610.7,5.79299,,,
12,"E7",3956,7331090,1853.16,3.71166E+08,93823.6,23041.1,5.82434,,,
12,"E8",2257,4240420,1878.78,2.21672E+08,98215.2,13863.8,6.14258,,,
12,"E9",3839,8261860,2152.09,4.37904E+08,114067,23698.2,6.17302,,,
12,"E10",5526,1.28134E+07,2318.76,6.93452E+08,125489,34864.2,6.30912,,,
12,"E11",4811,1.12585E+07,2340.16,6.14484E+08,127725,30571.7,6.35454,,,
12,"E12",3138,6712080,2138.97,3.54132E+08,112853,19184.1,6.11348,,,
13,"E1",3520,4035860,1146.55,2.01117E+08,57135.6,20426.7,5.80304,,,
13,"E2",3,3622.58,1207.53,179052,59684,17.7347,5.91157,,,
13,"E3",3728,4627860,1241.38,2.31786E+08,62174.4,21789,5.84468,,,
13,"E4",3172,2432730,766.937,1.11872E+08,35268.7,16637.6,5.24513,,,
13,"E5",2892,5253300,1816.49,2.7999E+08,96815.5,17723.2,6.12835,,,
13,"E6",3080,5566050,1807.16,2.77825E+08,90203.1,17741.7,5.76031,,,
