"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"B1",3,1666.46,555.486,650789,216930,233.527,77.8423,,,
1,"B2",36,9325.07,259.03,2591480,71985.5,1050.51,29.181,,,
1,"B3",9,696.817,77.4242,187457,20828.6,285.422,31.7136,,,
1,"B4",5,331.193,66.2387,78507,15701.4,105.932,21.1865,,,
1,"B5",1,66.1478,66.1478,21035,21035,37.8499,37.8499,,,
1,"B6",1,73.0171,73.0171,8543,8543,13.9259,13.9259,,,
1,"B7",3,3754.85,1251.62,600688,200229,55.9417,18.6472,,,
1,"B8",1,228.805,228.805,26999,26999,14.0449,14.0449,,,
1,"B9",1,1807.95,1807.95,334471,334471,22.0196,22.0196,,,
1,"B10",3,5696.81,1898.94,937985,312662,57.132,19.044,,,
1,"B11",1,1923.94,1923.94,384788,384788,23.805,23.805,,,
1,"B12",6,7836.1,1306.02,2460780,410130,318.273,53.0455,,,
2,"B1",6,6286.52,1047.75,1715640,285941,180.918,30.153,,,
2,"B2",39,12306.3,315.547,3291320,84392.9,1106.93,28.3829,,,
2,"B3",9,679.232,75.4702,182907,20323,281.851,31.3168,,,
2,"B4",6,1665.86,277.644,440302,73383.7,136.879,22.8131,,,
2,"B5",2,1302.84,651.421,207042,103521,54.5135,27.2567,,,
2,"B6",1,73.0345,73.0345,8472,8472,13.8069,13.8069,,,
2,"B7",3,3021.3,1007.1,504187,168062,54.2754,18.0918,,,
2,"B8",2,1329.23,664.613,295051,147526,42.611,21.3055,,,
2,"B9",3,2994.93,998.309,490021,163340,52.371,17.457,,,
2,"B10",3,5494.7,1831.57,933236,311079,58.6793,19.5598,,,
2,"B11",1,1732.27,1732.27,339525,339525,23.3289,23.3289,,,
2,"B12",7,9538.64,1362.66,2808560,401223,255.071,36.4387,,,
3,"B1",6,6245.27,1040.88,1662890,277148,179.847,29.9745,,,
3,"B2",42,16662.7,396.731,3981280,94792.3,1124.67,26.7778,,,
3,"B3",10,698.216,69.8216,183000,18300,293.635,29.3635,,,
3,"B4",7,2886.72,412.388,725739,103677,161.993,23.1419,,,
3,"B5",4,3687.9,921.975,673549,168387,99.862,24.9655,,,
3,"B6",1,76.9211,76.9211,8769,8769,13.5688,13.5688,,,
3,"B7",3,2789.39,929.797,510197,170066,59.5125,19.8375,,,
3,"B8",2,1432.09,716.043,285072,142536,39.1592,19.5796,,,
3,"B9",2,2383.26,1191.63,494251,247126,57.132,28.566,,,
3,"B10",3,5401.54,1800.51,891226,297075,57.132,19.044,,,
3,"B11",1,1969.56,1969.56,356491,356491,21.5435,21.5435,,,
3,"B12",7,11377.8,1625.4,5703920,814845,323.986,46.2837,,,
4,"B1",6,7696.84,1282.81,1584750,264125,169.373,28.2288,,,
