"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"B1",18,16739.4,929.967,3490040,193891,553.466,30.7481,,,
1,"B2",28,5574.59,199.092,1832140,65433.5,815.083,29.1101,,,
1,"B3",8,1871.15,233.894,354380,44297.5,226.386,28.2982,,,
1,"B4",4,4102.26,1025.57,1532090,383024,117.597,29.3992,,,
1,"B5",3,1857.53,619.176,281410,93803.3,77.6043,25.8681,,,
1,"B6",1,69.3482,69.3482,7767,7767,13.3308,13.3308,,,
1,"B7",2,405.24,202.62,473580,236790,175.681,87.8404,,,
1,"B9",6,6648.24,1108.04,1207050,201175,117.359,19.5598,,,
1,"B10",2,4033.46,2016.73,1149000,574500,68.4394,34.2197,,,
1,"B11",7,15394.1,2199.15,6216760,888109,447.415,63.9164,,,
1,"B12",5,7517.46,1503.49,1660660,332132,115.216,23.0432,,,
1,"B8",,,,,,,,,,
2,"B1",17,17175.3,1010.31,3914260,230250,409.327,24.0781,,,
2,"B2",36,11054.4,307.068,2828030,78556.5,916.731,25.4647,,,
2,"B3",12,5318.75,443.229,956004,79667,313.512,26.126,,,
2,"B4",7,9872.28,1410.33,2353150,336164,172.348,24.6212,,,
2,"B5",6,4084.87,680.812,998244,166374,153.542,25.5904,,,
2,"B6",7,9636,1376.57,3011010,430144,347.434,49.6334,,,
2,"B7",5,8194.47,1638.89,1207080,241415,81.175,16.235,,,
2,"B8",3,2331,776.999,544476,181492,85.579,28.5263,,,
2,"B9",6,6541.55,1090.26,1123880,187313,104.147,17.3578,,,
2,"B10",7,11138.2,1591.17,2863580,409083,196.867,28.1239,,,
2,"B11",12,28456.1,2371.34,9356420,779701,459.794,38.3161,,,
2,"B12",19,19713.4,1037.55,4614360,242861,626.905,32.995,,,
3,"B1",15,14471.6,964.773,3713810,247588,395.877,26.3918,,,
3,"B2",34,11717.1,344.621,3815170,112211,975.648,28.6955,,,
3,"B3",12,5003.88,416.99,898974,74914.5,304.585,25.3821,,,
3,"B4",7,9113.8,1301.97,2185300,312186,176.99,25.2843,,,
3,"B5",8,6488.91,811.114,1268310,158538,179.847,22.4808,,,
3,"B6",11,15281.1,1389.19,4071570,370142,311.846,28.3496,,,
