"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"C2",3,2193.73,731.242,500909,166970,89.3878,29.7959,,,
1,"C3",7,5854.56,836.366,3391360,484480,538.826,76.9752,,,
1,"C4",1,2640.25,2640.25,937290,937290,42.2539,42.2539,,,
1,"C5",1,2984.76,2984.76,901398,901398,35.9455,35.9455,,,
1,"C11",3,4859.36,1619.79,3788700,1262900,325.414,108.471,,,
1,"C1",,,,,,,,,,
1,"C6",,,,,,,,,,
1,"C7",,,,,,,,,,
1,"C8",,,,,,,,,,
1,"C9",,,,,,,,,,
1,"C10",,,,,,,,,,
1,"C12",,,,,,,,,,
2,"C1",7,13070.6,1867.23,6899380,985626,488.836,69.8337,,,
2,"C2",2,2238.16,1119.08,486274,243137,63.2023,31.6011,,,
2,"C3",6,4393.6,732.266,4049180,674863,517.283,86.2138,,,
2,"C4",1,2043.15,2043.15,768225,768225,44.7534,44.7534,,,
2,"C5",1,3040.54,3040.54,1128040,1128040,44.1583,44.1583,,,
2,"C6",2,4870.55,2435.27,1601580,800790,78.9136,39.4568,,,
2,"C11",3,4326.61,1442.2,1894080,631358,135.093,45.0311,,,
2,"C7",,,,,,,,,,
2,"C8",,,,,,,,,,
2,"C9",,,,,,,,,,
2,"C10",,,,,,,,,,
2,"C12",,,,,,,,,,
3,"C1",14,22583.7,1613.12,1.30725E+07,933754,1077.18,76.9412,,,
3,"C2",2,1989.6,994.801,673137,336569,79.2706,39.6353,,,
3,"C3",11,10643.5,967.591,4626680,420607,570.011,51.8192,,,
3,"C4",4,8526.06,2131.51,2846180,711545,158.66,39.6651,,,
3,"C5",1,3010.64,3010.64,1128990,1128990,44.6344,44.6344,,,
3,"C6",4,9273.41,2318.35,3426910,856727,171.515,42.8788,,,
3,"C7",1,1560.33,1560.33,2137650,2137650,163.064,163.064,,,
3,"C10",3,7432.42,2477.47,4030890,1343630,193.654,64.5512,,,
3,"C11",4,9428.42,2357.11,4186870,1046720,208.889,52.2222,,,
3,"C8",,,,,,,,,,
3,"C9",,,,,,,,,,
3,"C12",,,,,,,,,,
4,"C1",15,21051.4,1403.42,1.11929E+07,746194,1182.75,78.8501,,,
4,"C2",4,6405.7,1601.43,1521790,380449,122.715,30.6787,,,
4,"C3",14,10002.4,714.458,5015320,358237,846.982,60.4987,,,
4,"C4",4,7606.13,1901.53,2835520,708880,176.157,44.0392,,,
4,"C5",3,7311.71,2437.24,2970330,990108,145.806,48.6019,,,
4,"C6",4,9251.9,2312.97,3334840,833709,168.063,42.0158,,,
4,"C7",2,4038.65,2019.32,3574560,1787280,242.93,121.465,,,
4,"C9",2,3936.9,1968.45,2297750,1148880,136.284,68.1418,,,
4,"C10",3,7310.45,2436.82,4284800,1428270,207.699,69.2329,,,
4,"C11",3,6885.98,2295.33,3764190,1254730,191.392,63.7974,,,
4,"C8",,,,,,,,,,
4,"C12",,,,,,,,,,
5,"C1",13,18630.9,1433.15,1.31925E+07,1014810,1225.48,94.2678,,,
5,"C2",4,5738.17,1434.54,1452340,363084,129.975,32.4938,,,
5,"C3",12,9163.89,763.657,5348580,445715,907.447,75.6206,,,
5,"C4",3,5466.87,1822.29,2536540,845512,166.278,55.426,,,
5,"C5",3,4442.58,1480.86,4715240,1571750,354.933,118.311,,,
5,"C6",4,8984.96,2246.24,3213320,803330,165.683,41.4207,,,
