"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"G3",14,3844.9,274.636,60697,4335.5,24.1621,1.72586,,,
1,"G5",4,1325.22,331.306,20439,5109.75,6.90345,1.72586,,,
1,"G6",330,89594.8,271.5,1508920,4572.47,613.455,1.85895,,,
1,"G7",6,1989.93,331.655,62001,10333.5,16.5445,2.75741,,,
1,"G8",81,24734.5,305.365,502661,6205.69,169.016,2.08661,,,
1,"G9",254,90846.3,357.663,1761710,6935.85,539.421,2.12371,,,
1,"G10",142,41908.3,295.129,757140,5331.97,278.876,1.96391,,,
1,"G11",70,22995,328.5,419642,5994.89,142.473,2.03533,,,
1,"G12",75,23062.6,307.501,458925,6119,153.78,2.0504,,,
1,"G1",,,,,,,,,,
1,"G2",,,,,,,,,,
1,"G4",,,,,,,,,,
2,"G3",11,2781.77,252.888,46188,4198.91,19.5201,1.77455,,,
2,"G5",5,1221.07,244.215,16809,3361.8,7.37955,1.47591,,,
2,"G6",390,105686,270.99,1740270,4462.24,709.151,1.81834,,,
2,"G7",18,6109.16,339.398,144383,8021.28,42.3729,2.35405,,,
2,"G8",92,28899.8,314.129,630512,6853.39,197.701,2.14892,,,
2,"G9",255,86055.9,337.474,1681450,6593.93,540.135,2.11818,,,
2,"G10",167,47807.8,286.274,865514,5182.72,334.103,2.00062,,,
2,"G11",78,27190.3,348.594,506654,6495.56,161.755,2.07378,,,
2,"G12",85,33260.4,391.299,630157,7413.61,174.253,2.05003,,,
2,"G1",,,,,,,,,,
2,"G2",,,,,,,,,,
2,"G4",,,,,,,,,,
3,"G3",12,2980.58,248.381,48369,4030.75,21.1865,1.76554,,,
3,"G5",24,7903.15,329.298,158538,6605.75,49.0383,2.04326,,,
3,"G6",452,138540,306.504,2360590,5222.54,865.193,1.91414,,,
3,"G7",20,6994.03,349.702,163013,8150.65,46.4198,2.32099,,,
3,"G8",89,27003.9,303.415,586410,6588.88,186.75,2.09832,,,
3,"G9",282,101226,358.956,1944510,6895.44,594.768,2.10911,,,
3,"G10",149,39338.6,264.018,692386,4646.89,288.398,1.93555,,,
3,"G11",89,33767.3,379.407,638619,7175.49,186.512,2.09564,,,
3,"G12",85,31875,375.001,613924,7222.64,175.681,2.06683,,,
3,"G1",,,,,,,,,,
3,"G2",,,,,,,,,,
3,"G4",,,,,,,,,,
4,"G3",10,2433.76,243.376,40835,4083.5,18.4489,1.84489,,,
4,"G5",167,48777.1,292.079,895306,5361.11,328.39,1.96641,,,
4,"G6",292,78696.5,269.508,1310720,4488.75,534.66,1.83103,,,
4,"G7",18,6519.19,362.177,159022,8834.56,43.3251,2.40695,,,
4,"G8",55,17308.2,314.695,418738,7613.42,130.213,2.36752,,,
4,"G9",357,131060,367.114,2540880,7117.32,760.451,2.13011,,,
4,"G10",169,44703.4,264.517,772365,4570.21,321.01,1.89947,,,
4,"G11",98,34797,355.072,685821,6998.17,207.818,2.12059,,,
4,"G12",85,27912.4,328.381,527494,6205.81,167.468,1.97021,,,
4,"G1",,,,,,,,,,
4,"G2",,,,,,,,,,
4,"G4",,,,,,,,,,
5,"G1",2,628.5,314.25,12189,6094.5,4.40392,2.20196,,,
5,"G3",12,3182.56,265.214,50053,4171.08,20.7104,1.72586,,,
5,"G5",260,76521,294.311,1397130,5373.56,494.668,1.90257,,,
5,"G6",269,71472.4,265.697,1180790,4389.57,491.573,1.82741,,,
5,"G7",18,6315.32,350.851,149543,8307.94,42.1348,2.34083,,,
5,"G8",95,28658.1,301.664,618573,6511.29,203.533,2.14245,,,
5,"G9",434,139764,322.038,2679350,6173.61,900.186,2.07416,,,
5,"G10",151,43657.8,289.124,815661,5401.73,296.015,1.96037,,,
5,"G11",100,39118.3,391.183,767773,7677.73,211.865,2.11864,,,
5,"G12",71,20298.6,285.896,393802,5546.51,135.689,1.91111,,,
5,"G2",,,,,,,,,,
5,"G4",,,,,,,,,,
6,"G1",36,9831.18,273.088,186695,5185.97,74.3906,2.06641,,,
6,"G2",19,5204.78,273.936,104128,5480.42,41.4207,2.18004,,,
6,"G3",15,3632.47,242.165,57162,3810.8,25.4713,1.69809,,,
6,"G5",347,110679,318.959,2066430,5955.12,686.417,1.97815,,,
6,"G6",525,158058,301.062,2640100,5028.75,981.242,1.86903,,,
6,"G7",19,6847.48,360.394,156560,8240,43.9202,2.31159,,,
6,"G8",174,52262.3,300.358,1069610,6147.21,357.551,2.05489,,,
6,"G9",422,133788,317.034,2643650,6264.57,893.878,2.11819,,,
6,"G10",179,50537.6,282.333,897796,5015.62,339.578,1.89709,,,
6,"G11",104,38937.3,374.397,752301,7233.66,214.959,2.06692,,,
6,"G12",75,22533.9,300.452,434861,5798.15,145.806,1.94407,,,
6,"G4",,,,,,,,,,
7,"G1",64,17284.1,270.065,312568,4883.88,127.119,1.98623,,,
7,"G2",67,17691.1,264.046,320698,4786.54,130.213,1.94348,,,
7,"G3",18,4283.88,237.993,68849,3824.94,31.3036,1.73909,,,
7,"G5",366,108954,297.688,2027980,5540.92,707.247,1.93237,,,
7,"G6",537,152562,284.1,2534300,4719.37,985.527,1.83525,,,
7,"G7",25,8476.87,339.075,190956,7638.24,57.251,2.29004,,,
7,"G8",225,68922.4,306.322,1336460,5939.81,449.795,1.99909,,,
7,"G9",571,195994,343.247,3777390,6615.4,1186.8,2.07846,,,
7,"G10",157,44341.5,282.43,811122,5166.38,305.299,1.94458,,,
7,"G11",106,41135.9,388.075,791524,7467.21,221.506,2.08967,,,
7,"G12",135,47521.4,352.011,959215,7105.3,277.09,2.05252,,,
7,"G4",,,,,,,,,,
8,"G1",95,25407.8,267.45,442751,4660.54,182.703,1.92319,,,
