"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"G1",151,1,0.662252,150,99.3378,25,7.43712,250,250,25,1.19025,1.19025,,,
1,"G2",13,0,0,13,100,0,9.17279,0,0,0,0,0,,,
1,"G4",44,7,15.9091,37,84.0909,33.3731,11.6388,2178.29,15248,233.611,46.3007,6.61439,,,
1,"G5",1,1,100,0,0,63.0699,63.0699,11731,11731,63.0699,22.1387,22.1387,,,
1,"G7",85,6,7.05882,79,92.9412,27.286,9.18083,813.5,4881,163.716,21.5435,3.59059,,,
1,"G8",235,32,13.617,203,86.383,28.0896,12.1298,1199.66,38389,898.868,140.449,4.38905,,,
1,"G3",,,,,,,,,,,,,,,
1,"G6",,,,,,,,,,,,,,,
1,"G9",,,,,,,,,,,,,,,
1,"G10",,,,,,,,,,,,,,,
1,"G11",,,,,,,,,,,,,,,
1,"G12",,,,,,,,,,,,,,,
2,"G1",450,1,0.222222,449,99.7778,24.75,7.06929,297,297,24.75,1.4283,1.4283,,,
2,"G2",21,0,0,21,100,0,8.30898,0,0,0,0,0,,,
2,"G4",52,8,15.3846,44,84.6154,28.4527,10.2807,1942.75,15542,227.622,52.6091,6.57613,,,
2,"G5",1,1,100,0,0,61.534,61.534,11753,11753,61.534,22.7338,22.7338,,,
2,"G7",141,9,6.38298,132,93.617,23.183,9.10438,732.222,6590,208.647,34.5173,3.83525,,,
2,"G8",334,46,13.7725,288,86.2275,26.5023,13.0876,822.022,37813,1219.1,160.922,3.4983,,,
2,"G10",33,22,66.6667,11,33.3333,48.9838,43.2211,3014.36,66316,1077.64,155.328,7.06035,,,
2,"G3",,,,,,,,,,,,,,,
2,"G6",,,,,,,,,,,,,,,
2,"G9",,,,,,,,,,,,,,,
2,"G11",,,,,,,,,,,,,,,
