"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"E2",31,0,0,31,100,0,17.964,0,0,0,0,0,,,
1,"E3",57,3,5.26316,54,94.7368,183.489,31.3285,18954.7,56864,550.468,32.8509,10.9503,,,
1,"E4",284,31,10.9155,253,89.0845,149.189,34.5243,29243.1,906535,4624.87,540.731,17.4429,,,
1,"E5",130,9,6.92308,121,93.0769,155.518,28.1646,13871.1,124840,1399.66,93.9107,10.4345,,,
1,"E6",143,5,3.4965,138,96.5035,158.531,23.2783,20031,100155,792.657,71.296,14.2592,,,
1,"E7",211,9,4.2654,202,95.7346,78.5193,20.1762,5584.67,50262,706.674,74.7477,8.3053,,,
1,"E8",387,11,2.84238,376,97.1576,93.0385,20.6395,10335.4,113689,1023.42,138.307,12.5734,,,
1,"E9",296,17,5.74324,279,94.2568,80.419,23.8588,6878.65,116937,1367.12,180.204,10.6002,,,
1,"E10",354,12,3.38983,342,96.6102,126.08,21.3489,12269.3,147232,1512.96,143.544,11.962,,,
1,"E11",605,39,6.44628,566,93.5537,85.7501,24.3132,7468.62,291276,3344.26,410.517,10.5261,,,
1,"E12",742,29,3.90836,713,96.0916,130.821,23.8635,10436.8,302668,3793.82,246.263,8.49182,,,
1,"E1",,,,,,,,,,,,,,,
2,"E1",12,0,0,12,100,0,12.0876,0,0,0,0,0,,,
2,"E2",482,31,6.43154,451,93.5685,187.034,29.253,16555.2,513210,5798.06,308.989,9.96738,,,
2,"E3",303,25,8.25082,278,91.7492,193.788,37.2861,16120.8,403019,4844.69,225.314,9.01257,,,
2,"E4",708,60,8.47458,648,91.5254,180.999,33.9157,20457.1,1227430,10859.9,693.559,11.5593,,,
2,"E5",537,28,5.21415,509,94.7858,172.51,27.0755,14397.7,403136,4830.27,260.665,9.30946,,,
2,"E6",599,36,6.01002,563,93.99,147.982,26.6128,12460.6,448583,5327.34,327.676,9.10211,,,
2,"E7",618,44,7.11974,574,92.8803,148.229,27.923,11452.9,503929,6522.07,370.049,8.4102,,,
2,"E8",694,17,2.44957,677,97.5504,81.4605,20.4257,77940,1324980,1384.83,864.241,50.8377,,,
2,"E9",784,33,4.20918,751,95.7908,106.868,24.6319,8807.45,290646,3526.64,307.68,9.32362,,,
2,"E10",543,18,3.31492,525,96.6851,106.249,21.1716,9618.06,173125,1912.48,184.013,10.2229,,,
2,"E11",1053,72,6.83761,981,93.1624,92.9739,25.4173,8340.93,600547,6694.12,739.621,10.2725,,,
2,"E12",1035,32,3.09179,1003,96.9082,141.803,23.4487,12592.4,402958,4537.7,308.275,9.63359,,,
3,"E1",15,0,0,15,100,0,14.1592,0,0,0,0,0,,,
