"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"C2",1,1,100,0,0,24.2315,24.2315,171462,171462,24.2315,842.221,842.221,,,
1,"C3",3,1,33.3333,2,66.6667,63.2863,27.4348,294914,294914,63.2863,554.656,554.656,,,
1,"C4",3,0,0,3,100,0,9.21887,0,0,0,0,0,,,
1,"C5",2,0,0,2,100,0,8.93536,0,0,0,0,0,,,
1,"C9",3,0,0,3,100,0,15.1792,0,0,0,0,0,,,
1,"C10",1,0,0,1,100,0,7.54789,0,0,0,0,0,,,
1,"C11",11,1,9.09091,10,90.9091,36.5057,10.8107,47640,47640,36.5057,155.328,155.328,,,
1,"C12",1,0,0,1,100,0,7.85531,0,0,0,0,0,,,
1,"C1",,,,,,,,,,,,,,,
1,"C6",,,,,,,,,,,,,,,
1,"C7",,,,,,,,,,,,,,,
1,"C8",,,,,,,,,,,,,,,
2,"C1",1,0,0,1,100,0,10.2271,0,0,0,0,0,,,
2,"C2",1,1,100,0,0,23.5504,23.5504,164570,164570,23.5504,831.747,831.747,,,
2,"C3",3,0,0,3,100,0,16.7956,0,0,0,0,0,,,
2,"C4",2,0,0,2,100,0,12.3988,0,0,0,0,0,,,
2,"C5",2,0,0,2,100,0,8.98487,0,0,0,0,0,,,
2,"C8",7,0,0,7,100,0,8.8209,0,0,0,0,0,,,
2,"C9",11,3,27.2727,8,72.7273,50.5248,25.0851,2423060,7269190,151.574,15438,5146.01,,,
2,"C10",1,0,0,1,100,0,7.56434,0,0,0,0,0,,,
2,"C11",11,1,9.09091,10,90.9091,36.9479,10.9616,46776,46776,36.9479,150.686,150.686,,,
2,"C12",11,0,0,11,100,0,8.44484,0,0,0,0,0,,,
2,"C6",,,,,,,,,,,,,,,
2,"C7",,,,,,,,,,,,,,,
3,"C1",4,0,0,4,100,0,7.80142,0,0,0,0,0,,,
3,"C2",3,1,33.3333,2,66.6667,23.3888,13.3396,162552,162552,23.3888,827.224,827.224,,,
3,"C3",2,0,0,2,100,0,14.3076,0,0,0,0,0,,,
3,"C4",4,0,0,4,100,0,10.7507,0,0,0,0,0,,,
3,"C5",4,0,0,4,100,0,9.53086,0,0,0,0,0,,,
3,"C7",2,0,0,2,100,0,9.75825,0,0,0,0,0,,,
3,"C8",10,0,0,10,100,0,8.50058,0,0,0,0,0,,,
3,"C9",18,5,27.7778,13,72.2222,42.919,27.7708,2045180,1.02259E+07,214.595,22362.4,4472.48,,,
3,"C10",3,0,0,3,100,0,7.23153,0,0,0,0,0,,,
3,"C11",11,1,9.09091,10,90.9091,37.0817,11.2753,46315,46315,37.0817,148.662,148.662,,,
3,"C12",8,0,0,8,100,0,8.81363,0,0,0,0,0,,,
3,"C6",,,,,,,,,,,,,,,
4,"C1",6,0,0,6,100,0,7.77295,0,0,0,0,0,,,
4,"C2",2,0,0,2,100,0,8.43861,0,0,0,0,0,,,
4,"C3",3,1,33.3333,2,66.6667,28.5756,19.2197,38920,38920,28.5756,162.112,162.112,,,
4,"C4",5,1,20,4,80,20.0976,12.0921,51088,51088,20.0976,302.562,302.562,,,
4,"C5",3,0,0,3,100,0,9.00719,0,0,0,0,0,,,
4,"C7",5,0,0,5,100,0,8.97488,0,0,0,0,0,,,
4,"C8",11,0,0,11,100,0,8.85094,0,0,0,0,0,,,
4,"C9",21,4,19.0476,17,80.9524,44.6991,26.9494,1840570,7362280,178.796,15642.4,3910.6,,,
4,"C10",3,0,0,3,100,0,7.38085,0,0,0,0,0,,,
4,"C11",13,1,7.69231,12,92.3077,36.4863,11.4911,46593,46593,36.4863,151.995,151.995,,,
4,"C12",7,0,0,7,100,0,9.13136,0,0,0,0,0,,,
4,"C6",,,,,,,,,,,,,,,
5,"C1",4,0,0,4,100,0,8.28301,0,0,0,0,0,,,
5,"C2",3,1,33.3333,2,66.6667,23.3459,13.6183,156114,156114,23.3459,795.92,795.92,,,
5,"C3",1,0,0,1,100,0,8.96423,0,0,0,0,0,,,
5,"C4",5,0,0,5,100,0,9.7008,0,0,0,0,0,,,
5,"C5",5,0,0,5,100,0,10.1358,0,0,0,0,0,,,
5,"C7",5,0,0,5,100,0,8.74363,0,0,0,0,0,,,
5,"C8",11,0,0,11,100,0,8.47483,0,0,0,0,0,,,
5,"C9",26,7,26.9231,19,73.0769,43.476,28.0857,1968270,1.37779E+07,304.332,30292.6,4327.51,,,
5,"C10",2,0,0,2,100,0,7.22499,0,0,0,0,0,,,
5,"C11",13,1,7.69231,12,92.3077,36.2311,11.66,46412,46412,36.2311,152.471,152.471,,,
5,"C12",9,0,0,9,100,0,9.28084,0,0,0,0,0,,,
5,"C6",,,,,,,,,,,,,,,
6,"C1",12,0,0,12,100,0,7.90369,0,0,0,0,0,,,
6,"C2",3,1,33.3333,2,66.6667,23.514,13.5382,157779,157779,23.514,798.658,798.658,,,
6,"C3",3,1,33.3333,2,66.6667,28.8076,20.4888,38026,38026,28.8076,157.113,157.113,,,
6,"C4",9,0,0,9,100,0,9.59906,0,0,0,0,0,,,
6,"C5",7,0,0,7,100,0,9.25584,0,0,0,0,0,,,
6,"C7",6,0,0,6,100,0,9.12423,0,0,0,0,0,,,
6,"C8",10,0,0,10,100,0,8.80057,0,0,0,0,0,,,
6,"C9",24,3,12.5,21,87.5,49.8211,24.289,3295800,9887400,149.463,23585.2,7861.72,,,
6,"C10",4,0,0,4,100,0,7.2339,0,0,0,0,0,,,
6,"C11",14,1,7.14286,13,92.8571,35.309,11.0549,46502,46502,35.309,156.756,156.756,,,
6,"C12",13,0,0,13,100,0,9.28455,0,0,0,0,0,,,
6,"C6",,,,,,,,,,,,,,,
7,"C1",11,0,0,11,100,0,8.13844,0,0,0,0,0,,,
7,"C2",3,1,33.3333,2,66.6667,23.6181,13.5527,156635,156635,23.6181,789.374,789.374,,,
7,"C3",4,1,25,3,75,14.1308,13.5663,21931,21931,14.1308,184.727,184.727,,,
7,"C4",8,0,0,8,100,0,9.4023,0,0,0,0,0,,,
7,"C5",8,1,12.5,7,87.5,22.1539,11.0288,73263,73263,22.1539,393.616,393.616,,,
7,"C6",1,0,0,1,100,0,7.49478,0,0,0,0,0,,,
7,"C7",7,0,0,7,100,0,9.24873,0,0,0,0,0,,,
7,"C8",17,1,5.88235,16,94.1176,17.9195,8.87584,20697,20697,17.9195,137.474,137.474,,,
7,"C9",24,3,12.5,21,87.5,42.5863,23.392,2061560,6184690,127.759,14242.5,4747.51,,,
7,"C10",4,0,0,4,100,0,8.40136,0,0,0,0,0,,,
7,"C11",17,1,5.88235,16,94.1176,34.6302,10.7425,47755,47755,34.6302,164.135,164.135,,,
7,"C12",13,0,0,13,100,0,9.22428,0,0,0,0,0,,,
8,"C1",10,0,0,10,100,0,8.41695,0,0,0,0,0,,,
8,"C2",3,0,0,3,100,0,8.42518,0,0,0,0,0,,,
8,"C3",1,1,100,0,0,14,14,21266,21266,14,180.799,180.799,,,
8,"C4",11,0,0,11,100,0,8.82214,0,0,0,0,0,,,
8,"C5",6,1,16.6667,5,83.3333,22.3609,11.8268,73165,73165,22.3609,389.45,389.45,,,
8,"C6",1,0,0,1,100,0,7.53373,0,0,0,0,0,,,
8,"C7",6,0,0,6,100,0,9.93977,0,0,0,0,0,,,
8,"C8",14,2,14.2857,12,85.7143,14.1607,9.42041,12511,25022,28.3215,206.865,103.433,,,
8,"C9",25,3,12,22,88,39.4177,21.4497,786759,2360280,118.253,6050.64,2016.88,,,
8,"C10",4,0,0,4,100,0,8.89279,0,0,0,0,0,,,
8,"C11",15,2,13.3333,13,86.6667,27.0477,11.1275,29133.5,58267,54.0954,229.123,114.562,,,
8,"C12",14,0,0,14,100,0,9.24057,0,0,0,0,0,,,
9,"C1",15,0,0,15,100,0,8.34557,0,0,0,0,0,,,
9,"C2",1,1,100,0,0,24.1885,24.1885,160539,160539,24.1885,789.969,789.969,,,
9,"C3",2,1,50,1,50,15.7427,12.3373,23740,23740,15.7427,179.49,179.49,,,
9,"C4",6,0,0,6,100,0,9.79817,0,0,0,0,0,,,
9,"C5",7,1,14.2857,6,85.7143,23.2665,11.3655,70544,70544,23.2665,360.884,360.884,,,
9,"C6",3,0,0,3,100,0,8.53195,0,0,0,0,0,,,
9,"C7",6,0,0,6,100,0,9.87183,0,0,0,0,0,,,
9,"C8",15,0,0,15,100,0,8.53187,0,0,0,0,0,,,
9,"C9",24,4,16.6667,20,83.3333,40.1882,22.0547,1803110,7212450,160.753,15568.9,3892.24,,,
9,"C10",5,0,0,5,100,0,9.30423,0,0,0,0,0,,,
9,"C11",15,2,13.3333,13,86.6667,27.3875,11.513,138420,276840,54.7751,1356.65,678.323,,,
9,"C12",16,2,12.5,14,87.5,13.1068,9.65087,22147.5,44295,26.2136,377.904,188.952,,,
10,"C1",13,0,0,13,100,0,8.68669,0,0,0,0,0,,,
10,"C2",4,1,25,3,75,23.805,14.9758,161660,161660,23.805,808.299,808.299,,,
10,"C3",3,1,33.3333,2,66.6667,15.9853,11.222,25001,25001,15.9853,186.155,186.155,,,
10,"C4",8,0,0,8,100,0,9.26487,0,0,0,0,0,,,
10,"C5",8,1,12.5,7,87.5,22.9756,11.1728,72419,72419,22.9756,375.167,375.167,,,
10,"C6",2,0,0,2,100,0,9.23873,0,0,0,0,0,,,
10,"C7",7,0,0,7,100,0,10.4243,0,0,0,0,0,,,
10,"C8",14,0,0,14,100,0,8.50296,0,0,0,0,0,,,
10,"C9",26,3,11.5385,23,88.4615,42.6043,21.1699,2015210,6045620,127.813,14328.5,4776.16,,,
10,"C10",11,0,0,11,100,0,8.52725,0,0,0,0,0,,,
10,"C11",13,1,7.69231,12,92.3077,36.9708,11.7961,46842,46842,36.9708,150.805,150.805,,,
10,"C12",16,0,0,16,100,0,9.26325,0,0,0,0,0,,,
11,"C1",17,0,0,17,100,0,8.62598,0,0,0,0,0,,,
11,"C2",2,0,0,2,100,0,9.33461,0,0,0,0,0,,,
11,"C3",4,1,25,3,75,15.8138,12.9619,13078,13078,15.8138,98.4337,98.4337,,,
11,"C4",9,1,11.1111,8,88.8889,9.60069,9.51194,13873,13873,9.60069,171.991,171.991,,,
11,"C5",10,1,10,9,90,22.6462,10.5954,73600,73600,22.6462,386.831,386.831,,,
11,"C6",4,0,0,4,100,0,8.8629,0,0,0,0,0,,,
11,"C7",10,0,0,10,100,0,10.0394,0,0,0,0,0,,,
11,"C8",16,0,0,16,100,0,8.62711,0,0,0,0,0,,,
11,"C9",30,4,13.3333,26,86.6667,38.5447,21.2002,1511250,6045020,154.179,14220.2,3555.04,,,
11,"C10",10,1,10,9,90,9.62538,8.80955,12590,12590,9.62538,155.685,155.685,,,
11,"C11",16,1,6.25,15,93.75,33.0867,10.9206,47314,47314,33.0867,170.206,170.206,,,
11,"C12",17,0,0,17,100,0,9.07293,0,0,0,0,0,,,
12,"C1",14,0,0,14,100,0,8.50929,0,0,0,0,0,,,
12,"C2",3,0,0,3,100,0,8.9552,0,0,0,0,0,,,
12,"C3",6,2,33.3333,4,66.6667,23.0605,14.3232,21854.5,43709,46.1209,204.009,102.004,,,
12,"C4",9,0,0,9,100,0,9.52453,0,0,0,0,0,,,
