"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"B1",18,3,16.6667,15,83.3333,30.0464,14.0317,8732.33,26197,90.1391,108.67,36.2233,,,
1,"B2",28,27,96.4286,1,3.57143,59.6665,58.3319,29787.2,804255,1610.99,1497.81,55.4745,,,
1,"B3",8,7,87.5,1,12.5,114.127,101.35,120615,844306,798.89,713.198,101.885,,,
1,"B4",4,2,50,2,50,35.7452,23.6003,8809.5,17619,71.4904,57.9652,28.9826,,,
1,"B5",3,0,0,3,100,0,15.6085,0,0,0,0,0,,,
1,"B6",1,1,100,0,0,66.3333,66.3333,12935,12935,66.3333,23.2099,23.2099,,,
1,"B7",2,0,0,2,100,0,9.0389,0,0,0,0,0,,,
1,"B9",6,0,0,6,100,0,9.82157,0,0,0,0,0,,,
1,"B10",2,0,0,2,100,0,8.24985,0,0,0,0,0,,,
1,"B11",7,0,0,7,100,0,9.19682,0,0,0,0,0,,,
1,"B12",5,1,20,4,80,47.8188,16.4032,6599,6599,47.8188,16.4254,16.4254,,,
1,"B8",,,,,,,,,,,,,,,
2,"B1",17,2,11.7647,15,88.2353,28.4771,14.617,8756,17512,56.9543,79.3897,39.6948,,,
2,"B2",36,29,80.5556,7,19.4444,59.7164,51.7912,28828.9,836039,1731.78,1548.99,53.4135,,,
2,"B3",12,8,66.6667,4,33.3333,117.358,81.2579,113848,910781,938.867,768.187,96.0234,,,
2,"B4",7,2,28.5714,5,71.4286,35.0543,17.9808,7649,15298,70.1085,50.4666,25.2333,,,
2,"B5",6,1,16.6667,5,83.3333,44.5556,17.9867,6817,6817,44.5556,18.2108,18.2108,,,
2,"B6",7,1,14.2857,6,85.7143,64.0244,16.9264,13125,13125,64.0244,24.4001,24.4001,,,
2,"B7",5,0,0,5,100,0,10.3804,0,0,0,0,0,,,
2,"B8",3,0,0,3,100,0,8.12852,0,0,0,0,0,,,
2,"B9",6,0,0,6,100,0,10.7017,0,0,0,0,0,,,
2,"B10",7,0,0,7,100,0,8.99857,0,0,0,0,0,,,
