"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"A1",8,3,37.5,5,62.5,36.2063,20.7845,6930,20790,108.619,67.1301,22.3767,,,
1,"B1",1,1,100,0,0,41.3241,41.3241,5992,5992,41.3241,17.2586,17.2586,,,
1,"B2",4,4,100,0,0,451.611,451.611,1938050,7752180,1806.44,1982,495.501,,,
1,"C1",1,0,0,1,100,0,8.34459,0,0,0,0,0,,,
1,"D2",7,3,42.8571,4,57.1429,253.013,131.425,7.13698E+07,2.14109E+08,759.038,64299.6,21433.2,,,
1,"F1",4,4,100,0,0,40.384,40.384,20234.8,80939,161.536,240.311,60.0779,,,
1,"G1",1,1,100,0,0,34.4416,34.4416,6785,6785,34.4416,23.4479,23.4479,,,
1,"D1",,,,,,,,,,,,,,,
1,"E1",,,,,,,,,,,,,,,
1,"H1",,,,,,,,,,,,,,,
1,"A2",,,,,,,,,,,,,,,
1,"C2",,,,,,,,,,,,,,,
2,"A1",8,3,37.5,5,62.5,35.1443,20.3064,6291.67,18875,105.433,62.7262,20.9087,,,
2,"A2",2,0,0,2,100,0,7.85697,0,0,0,0,0,,,
2,"B1",1,1,100,0,0,38.1642,38.1642,5114,5114,38.1642,15.9494,15.9494,,,
2,"B2",4,4,100,0,0,455.947,455.947,1886840,7547350,1823.79,1969.98,492.496,,,
2,"C1",1,0,0,1,100,0,8.1017,0,0,0,0,0,,,
2,"D1",1,0,0,1,100,0,7.24255,0,0,0,0,0,,,
2,"D2",7,3,42.8571,4,57.1429,240.125,123.274,6.87913E+07,2.06374E+08,720.375,63810.7,21270.2,,,
2,"F1",4,4,100,0,0,39.2244,39.2244,16481.5,65926,156.898,206.032,51.5081,,,
2,"E1",,,,,,,,,,,,,,,
2,"G1",,,,,,,,,,,,,,,
2,"H1",,,,,,,,,,,,,,,
2,"C2",,,,,,,,,,,,,,,
3,"A1",8,3,37.5,5,62.5,34.4034,20.0218,6245,18735,103.21,63.4403,21.1468,,,
3,"A2",2,0,0,2,100,0,8.72587,0,0,0,0,0,,,
3,"B1",2,2,100,0,0,43.8126,43.8126,9116.5,18233,87.6252,48.0861,24.043,,,
3,"B2",4,4,100,0,0,450.057,450.057,1854530,7418130,1800.23,1983.79,495.947,,,
3,"C1",1,0,0,1,100,0,8.28716,0,0,0,0,0,,,
3,"D1",1,0,0,1,100,0,7.368,0,0,0,0,0,,,
3,"D2",9,5,55.5556,4,44.4444,279.842,169.352,3.95144E+07,1.97572E+08,1399.21,62288.9,12457.8,,,
3,"F1",5,5,100,0,0,38.5649,38.5649,12839,64195,192.824,205.675,41.135,,,
3,"E1",,,,,,,,,,,,,,,
3,"G1",,,,,,,,,,,,,,,
3,"H1",,,,,,,,,,,,,,,
3,"C2",,,,,,,,,,,,,,,
4,"A1",8,4,50,4,50,37.3773,24.2153,6677.25,26709,149.509,81.4131,20.3533,,,
4,"A2",2,0,0,2,100,0,8.6525,0,0,0,0,0,,,
4,"B1",1,1,100,0,0,40.0075,40.0075,5361,5361,40.0075,15.9494,15.9494,,,
4,"B2",4,4,100,0,0,413.303,413.303,1830980,7323910,1653.21,1997,499.25,,,
4,"C1",2,0,0,2,100,0,7.84772,0,0,0,0,0,,,
4,"D1",1,0,0,1,100,0,7.828,0,0,0,0,0,,,
4,"D2",9,4,44.4444,5,55.5556,307.529,162.158,4.72773E+07,1.89109E+08,1230.12,60642.6,15160.7,,,
4,"E1",1,0,0,1,100,0,7.37329,0,0,0,0,0,,,
4,"F1",6,5,83.3333,1,16.6667,38.3768,33.9218,12488.2,62441,191.884,200.557,40.1114,,,
4,"G1",,,,,,,,,,,,,,,
4,"H1",,,,,,,,,,,,,,,
4,"C2",,,,,,,,,,,,,,,
5,"A1",11,4,36.3636,7,63.6364,39.5202,23.7439,8418.25,33673,158.081,97.7195,24.4299,,,
5,"A2",2,0,0,2,100,0,8.63324,0,0,0,0,0,,,
5,"B1",1,1,100,0,0,43.1357,43.1357,6039,6039,43.1357,16.6635,16.6635,,,
5,"B2",4,4,100,0,0,439.141,439.141,1823320,7293290,1756.56,1987.24,496.81,,,
5,"C1",2,0,0,2,100,0,9.17425,0,0,0,0,0,,,
5,"D1",1,0,0,1,100,0,8.40648,0,0,0,0,0,,,
5,"D2",9,4,44.4444,5,55.5556,297.03,157.17,4.56641E+07,1.82657E+08,1188.12,59402.5,14850.6,,,
5,"E1",2,0,0,2,100,0,8.94123,0,0,0,0,0,,,
5,"F1",5,4,80,1,20,38.5555,33.1601,15977,63908,154.222,203.295,50.8237,,,
5,"G1",2,1,50,1,50,34.375,22.0444,5225,5225,34.375,18.0918,18.0918,,,
5,"H1",,,,,,,,,,,,,,,
5,"C2",,,,,,,,,,,,,,,
6,"A1",12,5,41.6667,7,58.3333,42.4202,24.535,7369.8,36849,212.101,101.885,20.3771,,,
6,"A2",4,0,0,4,100,0,8.80985,0,0,0,0,0,,,
6,"B1",1,1,100,0,0,48.5089,48.5089,8198,8198,48.5089,20.1152,20.1152,,,
6,"B2",4,4,100,0,0,442.029,442.029,1816820,7267280,1768.11,1994.03,498.506,,,
6,"C1",3,0,0,3,100,0,10.3886,0,0,0,0,0,,,
6,"D1",1,0,0,1,100,0,8.85294,0,0,0,0,0,,,
6,"D2",7,2,28.5714,5,71.4286,236.844,110.767,8.97601E+07,1.7952E+08,473.689,59269.1,29634.5,,,
6,"E1",2,0,0,2,100,0,10.6084,0,0,0,0,0,,,
6,"F1",5,4,80,1,20,39.8144,34.4055,16543.5,66174,159.258,203.414,50.8534,,,
6,"G1",6,0,0,6,100,0,9.30918,0,0,0,0,0,,,
6,"H1",,,,,,,,,,,,,,,
6,"C2",,,,,,,,,,,,,,,
7,"A1",10,3,30,7,70,45.577,21.9953,9477.33,28432,136.731,74.1526,24.7175,,,
7,"A2",5,1,20,4,80,37.5849,15.5234,3984,3984,37.5849,12.6166,12.6166,,,
7,"B1",7,1,14.2857,6,85.7143,47.4831,21.2193,8452,8452,47.4831,21.1864,21.1864,,,
7,"B2",5,4,80,1,20,462.689,372.14,1808730,7234920,1850.76,1975.7,493.924,,,
7,"C1",3,0,0,3,100,0,12.1231,0,0,0,0,0,,,
7,"D1",1,0,0,1,100,0,10.3465,0,0,0,0,0,,,
7,"D2",10,4,40,6,60,553.118,262.165,4.34287E+07,1.73715E+08,2212.47,58440.7,14610.2,,,
7,"E1",2,0,0,2,100,0,11.7865,0,0,0,0,0,,,
7,"F1",6,4,66.6667,2,33.3333,44.1148,34.4267,19828.3,79313,176.459,219.006,54.7515,,,
7,"G1",6,1,16.6667,5,83.3333,36.0409,14.4809,6163,6163,36.0409,20.3533,20.3533,,,
7,"H1",,,,,,,,,,,,,,,
7,"C2",,,,,,,,,,,,,,,
8,"A1",9,2,22.2222,7,77.7778,46.632,19.7423,10918,21836,93.264,55.9417,27.9709,,,
8,"A2",5,0,0,5,100,0,10.4471,0,0,0,0,0,,,
8,"B1",9,1,11.1111,8,88.8889,48.2378,19.5888,7911,7911,48.2378,19.5201,19.5201,,,
8,"B2",7,4,57.1429,3,42.8571,445.037,258.235,1801910,7207640,1780.15,1971.05,492.763,,,
8,"C1",6,0,0,6,100,0,12.2653,0,0,0,0,0,,,
8,"D1",1,0,0,1,100,0,12.4774,0,0,0,0,0,,,
8,"D2",14,9,64.2857,5,35.7143,439.985,303.649,1.908E+07,1.7172E+08,3959.87,58903.8,6544.87,,,
8,"E1",3,0,0,3,100,0,10.9674,0,0,0,0,0,,,
8,"F1",6,4,66.6667,2,33.3333,51.6246,40.729,31579.5,126318,206.498,288.04,72.0101,,,
8,"G1",5,1,20,4,80,42.7546,17.8598,9235,9235,42.7546,25.7094,25.7094,,,
8,"H1",1,0,0,1,100,0,16.8839,0,0,0,0,0,,,
8,"C2",,,,,,,,,,,,,,,
9,"A1",11,4,36.3636,7,63.6364,43.2412,23.3864,8004,32016,172.965,85.817,21.4543,,,
9,"A2",7,1,14.2857,6,85.7143,45.8235,17.1686,5453,5453,45.8235,14.164,14.164,,,
9,"B1",11,1,9.09091,10,90.9091,47.7975,18.8655,7791,7791,47.7975,19.4011,19.4011,,,
9,"B2",7,4,57.1429,3,42.8571,441.355,256.231,1798150,7192600,1765.42,1984.62,496.156,,,
9,"C1",8,0,0,8,100,0,12.1595,0,0,0,0,0,,,
9,"C2",1,0,0,1,100,0,8.25137,0,0,0,0,0,,,
9,"D1",2,0,0,2,100,0,11.6532,0,0,0,0,0,,,
9,"D2",17,11,64.7059,6,35.2941,540.969,367.678,1.52854E+07,1.68139E+08,5950.66,58259.8,5296.34,,,
9,"E1",3,0,0,3,100,0,11.4665,0,0,0,0,0,,,
9,"F1",7,4,57.1429,3,42.8571,50.3623,36.3751,29795.3,119181,201.449,280.066,70.0165,,,
9,"G1",4,0,0,4,100,0,11.7185,0,0,0,0,0,,,
9,"H1",2,0,0,2,100,0,17.7218,0,0,0,0,0,,,
10,"A1",12,5,41.6667,7,58.3333,39.5968,23.6024,7183,35915,197.984,104.623,20.9246,,,
10,"A2",6,0,0,6,100,0,12.7059,0,0,0,0,0,,,
10,"B1",11,1,9.09091,10,90.9091,47.3374,18.8777,7716,7716,47.3374,19.4011,19.4011,,,
10,"B2",13,4,30.7692,9,69.2308,418.378,135.694,1792340,7169370,1673.51,1985.34,496.334,,,
10,"C1",8,0,0,8,100,0,12.3357,0,0,0,0,0,,,
10,"C2",1,0,0,1,100,0,8.22826,0,0,0,0,0,,,
10,"D1",2,0,0,2,100,0,12.0247,0,0,0,0,0,,,
10,"D2",20,11,55,9,45,560.171,329.176,1.49809E+07,1.64789E+08,6161.88,57670.7,5242.79,,,
10,"E1",3,0,0,3,100,0,11.6561,0,0,0,0,0,,,
10,"F1",9,3,33.3333,6,66.6667,51.5777,28.3666,26322.3,78967,154.733,180.799,60.2663,,,
10,"G1",4,0,0,4,100,0,11.6362,0,0,0,0,0,,,
10,"H1",4,1,25,3,75,49.8392,26.5497,14254,14254,49.8392,34.0411,34.0411,,,
11,"A1",13,5,38.4615,8,61.5385,38.5049,23.3207,7300.6,36503,192.524,108.908,21.7816,,,
11,"A2",7,1,14.2857,6,85.7143,46.6911,17.3417,5743,5743,46.6911,14.6401,14.6401,,,
11,"B1",11,1,9.09091,10,90.9091,47.4024,18.8818,8011,8011,47.4024,20.1152,20.1152,,,
11,"B2",15,4,26.6667,11,73.3333,422.873,120.24,1789160,7156650,1691.49,1980.34,495.085,,,
11,"C1",9,0,0,9,100,0,12.2895,0,0,0,0,0,,,
11,"D1",6,0,0,6,100,0,11.7131,0,0,0,0,0,,,
11,"D2",22,12,54.5455,10,45.4545,442.551,261.493,1.33419E+07,1.60103E+08,5310.61,56514.3,4709.52,,,
11,"E1",5,0,0,5,100,0,11.8534,0,0,0,0,0,,,
11,"F1",12,4,33.3333,8,66.6667,48.9737,27.6915,29664.8,118659,195.895,283.994,70.9984,,,
11,"G1",5,1,20,4,80,44.5346,18.0021,9664,9664,44.5346,25.8284,25.8284,,,
11,"H1",5,0,0,5,100,0,19.7362,0,0,0,0,0,,,
11,"C2",,,,,,,,,,,,,,,
12,"A1",13,5,38.4615,8,61.5385,38.2575,23.2544,7220.6,36103,191.287,108.313,21.6625,,,
12,"A2",7,0,0,7,100,0,12.0201,0,0,0,0,0,,,
12,"B1",11,1,9.09091,10,90.9091,45.7797,18.7136,8103,8103,45.7797,21.0674,21.0674,,,
12,"B2",16,4,25,12,75,431.425,115.816,1787030,7148130,1725.7,1991.41,497.852,,,
12,"C1",9,0,0,9,100,0,12.2691,0,0,0,0,0,,,
12,"C2",2,0,0,2,100,0,9.81006,0,0,0,0,0,,,
12,"D1",5,1,20,4,80,21.7548,14.5619,5678,5678,21.7548,31.0655,31.0655,,,
12,"D2",23,14,60.8696,9,39.1304,439.967,286.356,1.14227E+07,1.59918E+08,6159.54,56377.4,4026.96,,,
12,"E1",6,0,0,6,100,0,11.8144,0,0,0,0,0,,,
12,"F1",12,4,33.3333,8,66.6667,50.3177,28.2593,30252.8,121011,201.271,282.684,70.6711,,,
12,"G1",4,0,0,4,100,0,11.4629,0,0,0,0,0,,,
12,"H1",7,1,14.2857,6,85.7143,36.4024,22.0203,9137,9137,36.4024,29.8753,29.8753,,,
