"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"G1",98,0,0,98,100,0,7.2004,0,0,0,0,0,,,
1,"G4",135,2,1.48148,133,98.5185,34.9341,7.64319,1469,2938,69.8682,9.28395,4.64197,,,
1,"G5",1727,30,1.73712,1697,98.2629,34.8502,13.2222,1725.07,51752,1045.51,170.206,5.67352,,,
1,"G6",495,3,0.606061,492,99.3939,31.8668,9.56334,1566.67,4700,95.6005,17.8538,5.95125,,,
1,"G7",3,0,0,3,100,0,8.98168,0,0,0,0,0,,,
1,"G8",277,7,2.52708,270,97.4729,34.6879,11.7206,6068,42476,242.815,90.1019,12.8717,,,
1,"G9",12,6,50,6,50,61.5354,47.9532,5848,35088,369.212,73.0814,12.1802,,,
1,"G12",603,2,0.331675,601,99.6683,21.8276,7.78168,911,1822,43.6552,9.64103,4.82051,,,
1,"G2",,,,,,,,,,,,,,,
1,"G3",,,,,,,,,,,,,,,
1,"G10",,,,,,,,,,,,,,,
1,"G11",,,,,,,,,,,,,,,
2,"G1",120,0,0,120,100,0,8.84704,0,0,0,0,0,,,
2,"G4",222,1,0.45045,221,99.5496,37,7.33951,925,925,37,2.97563,2.97563,,,
2,"G5",3679,80,2.1745,3599,97.8255,29.0591,12.1545,1121.21,89697,2324.72,354.814,4.43517,,,
2,"G6",879,6,0.682594,873,99.3174,31.9186,9.96803,1407.17,8443,191.512,29.6372,4.93954,,,
2,"G7",19,0,0,19,100,0,9.51492,0,0,0,0,0,,,
2,"G8",535,8,1.49533,527,98.5047,36.0378,11.0096,4356.13,34849,288.302,81.056,10.132,,,
2,"G9",14,9,64.2857,5,35.7143,55.7817,46.7094,6311.11,56800,502.036,105.337,11.7041,,,
2,"G12",823,2,0.243013,821,99.757,29.8273,7.96049,961.5,1923,59.6546,7.97468,3.98734,,,
2,"G2",,,,,,,,,,,,,,,
2,"G3",,,,,,,,,,,,,,,
2,"G10",,,,,,,,,,,,,,,
2,"G11",,,,,,,,,,,,,,,
3,"G1",122,0,0,122,100,0,9.17194,0,0,0,0,0,,,
3,"G4",236,3,1.27119,233,98.7288,30.0992,7.82892,1371,4113,90.2976,15.9494,5.31645,,,
3,"G5",5706,72,1.26183,5634,98.7382,29.2987,11.8698,1306.49,94067,2109.51,357.908,4.97095,,,
3,"G6",1356,12,0.884956,1344,99.115,27.6471,9.62823,1501.25,18015,331.765,70.3438,5.86198,,,
3,"G7",108,3,2.77778,105,97.2222,31.1563,10.3575,1348,4044,93.4688,14.283,4.761,,,
3,"G8",875,14,1.6,861,98.4,31.7727,11.2881,1946.36,27249,444.818,84.3887,6.02777,,,
3,"G9",13,9,69.2308,4,30.7692,55.4979,47.8252,5381.11,48430,499.481,94.0297,10.4478,,,
3,"G12",875,4,0.457143,871,99.5429,24.189,8.45599,711,2844,96.756,14.283,3.57075,,,
3,"G2",,,,,,,,,,,,,,,
3,"G3",,,,,,,,,,,,,,,
3,"G10",,,,,,,,,,,,,,,
3,"G11",,,,,,,,,,,,,,,
4,"G1",118,0,0,118,100,0,9.51213,0,0,0,0,0,,,
4,"G4",233,0,0,233,100,0,7.85887,0,0,0,0,0,,,
4,"G5",7258,116,1.59824,7142,98.4018,28.7109,11.8327,1271.11,147449,3330.47,581.318,5.01136,,,
4,"G6",1925,18,0.935065,1907,99.0649,27.0658,9.92556,1386.33,24954,487.184,102.6,5.69998,,,
4,"G7",589,1,0.169779,588,99.8302,31.1455,9.80358,1713,1713,31.1455,6.54637,6.54637,,,
4,"G8",1176,18,1.53061,1158,98.4694,35.3647,11.5575,4852.89,87352,636.565,189.131,10.5073,,,
