"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"F1",99,4,4.0404,95,95.9596,32.1856,11.8952,1749.25,6997,128.743,22.6147,5.65369,,,
1,"F2",71,0,0,71,100,0,9.46906,0,0,0,0,0,,,
1,"F3",160,1,0.625,159,99.375,61.422,10.1335,6695,6695,61.422,12.9737,12.9737,,,
1,"F4",70,5,7.14286,65,92.8571,46.2821,10.8271,4062,20310,231.411,41.5397,8.30795,,,
1,"F5",594,5,0.841751,589,99.1582,35.7229,11.7994,4656,23280,178.615,62.2501,12.45,,,
1,"F6",34,0,0,34,100,0,10.832,0,0,0,0,0,,,
1,"F7",134,1,0.746269,133,99.2537,25.6173,11.4335,2075,2075,25.6173,9.64102,9.64102,,,
1,"F8",429,6,1.3986,423,98.6014,28.2175,13.2718,2716.67,16300,169.305,59.9886,9.9981,,,
1,"F9",252,3,1.19048,249,98.8095,34.8691,10.2081,1850.67,5552,104.607,18.6869,6.22897,,,
1,"F10",60,0,0,60,100,0,11.0475,0,0,0,0,0,,,
1,"F12",189,1,0.529101,188,99.4709,25.2105,15.0405,1437,1437,25.2105,6.78442,6.78442,,,
1,"F11",,,,,,,,,,,,,,,
2,"F1",96,1,1.04167,95,98.9583,63.5,11.3482,5842,5842,63.5,10.9503,10.9503,,,
2,"F2",173,2,1.15607,171,98.8439,43.9044,12.5065,7230,14460,87.8088,29.6372,14.8186,,,
2,"F3",198,1,0.50505,197,99.4949,68.5392,10.8464,6991,6991,68.5392,12.1405,12.1405,,,
2,"F4",99,2,2.0202,97,97.9798,56.7761,9.65357,8010.5,16021,113.552,28.566,14.283,,,
2,"F5",965,5,0.518135,960,99.4819,25.9396,11.7148,1545.6,7728,129.698,36.7787,7.35574,,,
2,"F6",103,0,0,103,100,0,11.683,0,0,0,0,0,,,
2,"F7",239,4,1.67364,235,98.3264,47.2652,12.3886,47232,188928,189.061,210.198,52.5495,,,
2,"F8",855,17,1.9883,838,98.0117,25.1656,14.4762,1726.65,29353,427.816,135.093,7.94667,,,
2,"F9",280,4,1.42857,276,98.5714,37.811,11.033,10568.3,42273,151.244,86.7692,21.6923,,,
2,"F10",84,1,1.19048,83,98.8095,69.5918,13.334,3410,3410,69.5918,5.83222,5.83222,,,
2,"F12",358,2,0.558659,356,99.4413,27.6719,15.7045,1411.5,2823,55.3437,12.3786,6.1893,,,
2,"F11",,,,,,,,,,,,,,,
3,"F1",120,0,0,120,100,0,11.1052,0,0,0,0,0,,,
3,"F2",201,7,3.48259,194,96.5174,51.451,15.7645,11546.7,80827,360.157,156.875,22.4107,,,
3,"F3",277,0,0,277,100,0,11.0912,0,0,0,0,0,,,
3,"F4",106,1,0.943396,105,99.0566,71.1564,9.50724,15014,15014,71.1564,25.1143,25.1143,,,
3,"F5",1409,4,0.283889,1405,99.7161,20.3005,12.0147,1314.25,5257,81.2018,32.3748,8.0937,,,
3,"F6",149,0,0,149,100,0,12.4554,0,0,0,0,0,,,
3,"F7",268,5,1.86567,263,98.1343,28.1911,12.6126,3381.2,16906,140.956,55.5847,11.1169,,,
3,"F8",1742,24,1.37773,1718,98.6223,30.1969,14.9364,5849.46,140387,724.726,310.893,12.9539,,,
3,"F9",368,6,1.63043,362,98.3696,27.416,11.9762,1228.83,7373,164.496,32.4938,5.41564,,,
3,"F10",88,0,0,88,100,0,13.8723,0,0,0,0,0,,,
3,"F12",428,6,1.40187,422,98.5981,49.3253,16.7345,21949.5,131697,295.952,203.057,33.8428,,,
3,"F11",,,,,,,,,,,,,,,
4,"F1",172,2,1.16279,170,98.8372,41.1021,11.6191,3181.5,6363,82.2043,14.7591,7.37955,,,
4,"F2",431,3,0.696056,428,99.3039,55.3562,15.3789,13017,39051,166.069,69.9867,23.3289,,,
4,"F3",507,1,0.197239,506,99.8028,56.7143,11.0227,7940,7940,56.7143,16.6635,16.6635,,,
4,"F4",118,1,0.847458,117,99.1525,69.2282,9.3677,14261,14261,69.2282,24.5191,24.5191,,,
4,"F5",1997,1,0.0500751,1996,99.9499,49.931,12.0872,7240,7240,49.931,17.2586,17.2586,,,
4,"F6",288,0,0,288,100,0,12.7935,0,0,0,0,0,,,
4,"F7",378,3,0.793651,375,99.2063,56.0087,13.0876,61679.7,185039,168.026,203.414,67.8046,,,
4,"F8",2664,21,0.788288,2643,99.2117,33.5669,14.8439,6011.52,126242,704.904,273.4,13.0191,,,
4,"F9",451,3,0.665188,448,99.3348,27.2245,12.9184,2151,6453,81.6735,28.3279,9.44265,,,
4,"F10",211,1,0.473934,210,99.5261,18.3478,14.6752,2954,2954,18.3478,19.163,19.163,,,
4,"F11",34,1,2.94118,33,97.0588,27.9524,13.6343,1174,1174,27.9524,4.99905,4.99905,,,
4,"F12",489,4,0.817996,485,99.182,28.5062,16.7546,1174,4696,114.025,18.925,4.73124,,,
5,"F1",254,1,0.393701,253,99.6063,62.567,11.8702,6069,6069,62.567,11.5454,11.5454,,,
5,"F2",1008,20,1.98413,988,98.0159,38.0079,15.4881,5341.35,106827,760.158,247.81,12.3905,,,
5,"F3",725,2,0.275862,723,99.7241,43.0743,11.2532,3610.5,7221,86.1485,15.4732,7.73662,,,
5,"F4",141,1,0.70922,140,99.2908,71.3515,9.53672,14413,14413,71.3515,24.0431,24.0431,,,
5,"F5",2557,5,0.195542,2552,99.8045,30.1159,12.0981,3955.6,19778,150.579,69.9867,13.9973,,,
5,"F6",477,2,0.419287,475,99.5807,35.0769,13.0018,3868,7736,70.1538,22.9718,11.4859,,,
5,"F7",704,8,1.13636,696,98.8636,41.6222,13.2033,25079.5,200636,332.978,234.598,29.3248,,,
5,"F8",3229,25,0.774234,3204,99.2258,33.7228,14.8331,5257.36,131434,843.069,308.394,12.3358,,,
5,"F9",516,7,1.35659,509,98.6434,35.3504,13.9702,10366.7,72567,247.453,163.421,23.3459,,,
5,"F10",447,4,0.894855,443,99.1051,31.0758,15.1933,2133.75,8535,124.303,35.7075,8.92688,,,
5,"F11",136,2,1.47059,134,98.5294,22.5897,13.2018,1061,2122,45.1795,11.6644,5.83222,,,
5,"F12",505,1,0.19802,504,99.802,31.7931,16.3561,922,922,31.7931,3.45173,3.45173,,,
6,"F1",311,0,0,311,100,0,11.7162,0,0,0,0,0,,,
6,"F2",1669,23,1.37807,1646,98.6219,38.7393,15.4455,7019.22,161442,891.003,356.242,15.4888,,,
6,"F3",848,0,0,848,100,0,11.0905,0,0,0,0,0,,,
6,"F4",167,1,0.598802,166,99.4012,69.6531,9.50524,13652,13652,69.6531,23.3289,23.3289,,,
6,"F5",2991,6,0.200602,2985,99.7994,25.9625,12.2337,1834.17,11005,155.775,42.849,7.1415,,,
6,"F6",689,0,0,689,100,0,12.9001,0,0,0,0,0,,,
6,"F7",1115,13,1.16592,1102,98.8341,35.5683,13.2649,15995.5,207942,462.388,267.687,20.5913,,,
6,"F8",3667,25,0.681756,3642,99.3182,29.4777,14.77,4471.8,111795,736.943,287.207,11.4883,,,
6,"F9",799,4,0.500626,795,99.4994,23.1537,13.8591,1536,6144,92.615,31.3036,7.82589,,,
6,"F10",707,2,0.282885,705,99.7171,50.0317,15.0871,11963,23926,100.063,45.8246,22.9123,,,
6,"F11",273,4,1.4652,269,98.5348,23.1844,13.1959,1390.75,5563,92.7376,30.2324,7.55809,,,
6,"F12",525,3,0.571429,522,99.4286,55.6425,16.0611,32228.3,96685,166.928,110.574,36.8581,,,
7,"F1",378,0,0,378,100,0,11.7655,0,0,0,0,0,,,
7,"F2",2194,25,1.13947,2169,98.8605,38.9281,15.4392,6451.6,161290,973.202,342.673,13.7069,,,
7,"F3",1025,2,0.195122,1023,99.8049,52.077,11.1469,5775,11550,104.154,27.0187,13.5093,,,
7,"F4",201,2,0.995025,199,99.005,56.0864,9.54637,7398.5,14797,112.173,26.3045,13.1523,,,
7,"F5",3352,5,0.149165,3347,99.8508,34.6326,12.3195,3833.6,19168,173.163,53.4422,10.6884,,,
7,"F6",802,0,0,802,100,0,13.0345,0,0,0,0,0,,,
7,"F7",1554,8,0.514801,1546,99.4852,43.1712,13.1747,25238.6,201909,345.369,249.952,31.2441,,,
7,"F8",4109,33,0.803115,4076,99.1969,31.1897,14.7641,4345.61,143405,1029.26,370.287,11.2208,,,
7,"F9",1350,19,1.40741,1331,98.5926,30.7058,14.0621,4757.89,90400,583.41,233.051,12.2658,,,
7,"F10",948,15,1.58228,933,98.4177,34.6285,15.2393,2008.93,30134,519.427,104.861,6.99074,,,
7,"F11",383,2,0.522193,381,99.4778,22.005,13.1939,971.5,1943,44.01,10.7122,5.35612,,,
7,"F12",535,2,0.373832,533,99.6262,56.2847,16.0372,31021,62042,112.569,87.8404,43.9202,,,
8,"F1",421,0,0,421,100,0,12.0174,0,0,0,0,0,,,
8,"F2",2499,65,2.60104,2434,97.399,37.7302,15.6685,3354.14,218019,2452.46,520.258,8.00397,,,
8,"F3",1280,2,0.15625,1278,99.8438,37.3245,11.084,3732,7464,74.6489,19.6391,9.81956,,,
8,"F4",225,3,1.33333,222,98.6667,51.123,9.88398,5544,16632,153.369,31.6607,10.5536,,,
8,"F5",3703,4,0.108021,3699,99.892,33.5,12.3944,3907,15628,134,40.2304,10.0576,,,
8,"F6",868,0,0,868,100,0,13.1554,0,0,0,0,0,,,
8,"F7",1950,12,0.615385,1938,99.3846,32.6973,13.1834,16471.6,197659,392.368,254.237,21.1864,,,
8,"F8",4406,21,0.476623,4385,99.5234,30.0661,14.5456,3739.95,78539,631.389,216.626,10.3155,,,
8,"F9",1875,15,0.8,1860,99.2,31.4372,14.2076,2052.27,30784,471.558,104.504,6.96693,,,
