"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"B1",52,1,1.92308,51,98.0769,29.0701,7.66792,12849,12849,29.0701,52.6091,52.6091,,,
1,"B2",31,27,87.0968,4,12.9032,64.28,57.2283,27547,743769,1735.56,1208.1,44.7446,,,
1,"B3",9,8,88.8889,1,11.1111,99.5515,90.9628,89105.1,712841,796.412,664.636,83.0795,,,
1,"B4",2,2,100,0,0,34.8026,34.8026,13345,26690,69.6053,91.7683,45.8841,,,
1,"B5",2,2,100,0,0,24.2493,24.2493,5565.5,11131,48.4987,56.6559,28.3279,,,
1,"B6",1,1,100,0,0,66.3025,66.3025,10741,10741,66.3025,19.282,19.282,,,
1,"B7",1,0,0,1,100,0,6.96698,0,0,0,0,0,,,
1,"B8",4,0,0,4,100,0,8.86817,0,0,0,0,0,,,
1,"B12",1,1,100,0,0,47.575,47.575,5709,5709,47.575,14.283,14.283,,,
1,"B9",,,,,,,,,,,,,,,
1,"B10",,,,,,,,,,,,,,,
1,"B11",,,,,,,,,,,,,,,
2,"B1",46,2,4.34783,44,95.6522,17.4022,7.49634,11892,23784,34.8044,205.318,102.659,,,
2,"B2",34,25,73.5294,9,26.4706,65.6225,51.2987,29971.3,749282,1640.56,1198.58,47.9433,,,
2,"B3",10,8,80,2,20,98.0288,81.6176,85289.8,682318,784.23,644.877,80.6097,,,
2,"B4",4,3,75,1,25,32.9062,28.7126,9252.33,27757,98.7185,96.0532,32.0177,,,
2,"B5",3,1,33.3333,2,66.6667,22.6406,13.5278,7811,7811,22.6406,41.0636,41.0636,,,
2,"B6",1,1,100,0,0,61.875,61.875,10395,10395,61.875,19.9962,19.9962,,,
2,"B7",1,0,0,1,100,0,7.14159,0,0,0,0,0,,,
2,"B8",4,0,0,4,100,0,8.9736,0,0,0,0,0,,,
2,"B12",3,1,33.3333,2,66.6667,46.6967,20.7374,5697,5697,46.6967,14.5211,14.5211,,,
2,"B9",,,,,,,,,,,,,,,
2,"B10",,,,,,,,,,,,,,,
2,"B11",,,,,,,,,,,,,,,
3,"B1",65,2,3.07692,63,96.9231,19.4604,7.33643,7823.5,15647,38.9209,104.147,52.0734,,,
3,"B2",34,26,76.4706,8,23.5294,66.3202,53.5092,27273.8,709118,1724.33,1155.49,44.4421,,,
3,"B3",10,8,80,2,20,97.7737,81.4895,91208.4,729667,782.19,686.893,85.8617,,,
3,"B4",4,2,50,2,50,34.8909,21.3228,13067,26134,69.7819,89.6258,44.8129,,,
3,"B5",4,1,25,3,75,22.0526,12.2639,7542,7542,22.0526,40.7066,40.7066,,,
3,"B6",1,1,100,0,0,62.9562,62.9562,10073,10073,62.9562,19.044,19.044,,,
3,"B7",1,0,0,1,100,0,6.84444,0,0,0,0,0,,,
3,"B8",5,0,0,5,100,0,8.92255,0,0,0,0,0,,,
3,"B12",3,1,33.3333,2,66.6667,45.5891,21.5093,5881,5881,45.5891,15.3542,15.3542,,,
3,"B9",,,,,,,,,,,,,,,
3,"B10",,,,,,,,,,,,,,,
3,"B11",,,,,,,,,,,,,,,
4,"B1",65,2,3.07692,63,96.9231,19.5382,7.36733,7738,15476,39.0764,100.933,50.4666,,,
4,"B2",35,25,71.4286,10,28.5714,67.1419,51.4572,28151.2,703779,1678.55,1145.73,45.8294,,,
4,"B3",9,8,88.8889,1,11.1111,96.7053,88.4568,92280.5,738244,773.642,701.295,87.6619,,,
4,"B4",3,2,66.6667,1,33.3333,35.0438,26.0304,12757,25514,70.0876,87.6024,43.8012,,,
4,"B5",5,1,20,4,80,22.4269,11.913,7513,7513,22.4269,39.8734,39.8734,,,
4,"B6",1,1,100,0,0,58.3086,58.3086,10204,10204,58.3086,20.8294,20.8294,,,
4,"B7",1,0,0,1,100,0,7.15546,0,0,0,0,0,,,
4,"B8",5,0,0,5,100,0,8.99916,0,0,0,0,0,,,
4,"B9",2,0,0,2,100,0,8.25796,0,0,0,0,0,,,
4,"B12",7,1,14.2857,6,85.7143,47.2047,15.9176,5995,5995,47.2047,15.1162,15.1162,,,
4,"B10",,,,,,,,,,,,,,,
4,"B11",,,,,,,,,,,,,,,
5,"B1",69,2,2.89855,67,97.1014,20.4013,7.48611,6860.5,13721,40.8027,81.6512,40.8256,,,
5,"B2",38,27,71.0526,11,28.9474,63.9724,48.9371,24849.4,670934,1727.26,1098.12,40.6713,,,
5,"B3",10,8,80,2,20,97.5363,81.2784,91735,733880,780.291,686.655,85.8319,,,
5,"B4",4,2,50,2,50,35.9925,24.3601,12675,25350,71.9851,85.1029,42.5514,,,
5,"B5",5,1,20,4,80,23.087,11.9185,6372,6372,23.087,32.8509,32.8509,,,
5,"B6",1,1,100,0,0,63.7722,63.7722,10076,10076,63.7722,18.806,18.806,,,
5,"B7",1,0,0,1,100,0,7.13974,0,0,0,0,0,,,
5,"B8",4,0,0,4,100,0,9.01397,0,0,0,0,0,,,
5,"B9",2,0,0,2,100,0,7.82162,0,0,0,0,0,,,
5,"B12",8,1,12.5,7,87.5,51.2333,15.7441,6148,6148,51.2333,14.283,14.283,,,
5,"B10",,,,,,,,,,,,,,,
5,"B11",,,,,,,,,,,,,,,
6,"B1",65,2,3.07692,63,96.9231,18.7339,7.32083,8100.5,16201,37.4678,108.67,54.3349,,,
6,"B2",36,25,69.4444,11,30.5556,66.2005,49.3209,26945.1,673628,1655.01,1110.74,44.4297,,,
6,"B3",9,8,88.8889,1,11.1111,97.3036,87.5791,93145.5,745164,778.429,695.344,86.918,,,
6,"B4",3,2,66.6667,1,33.3333,34.7976,26.0293,12135,24270,69.5952,83.6746,41.8373,,,
6,"B5",5,1,20,4,80,23.0117,12.0184,7893,7893,23.0117,40.8256,40.8256,,,
6,"B6",1,1,100,0,0,64.4091,64.4091,9919,9919,64.4091,18.3298,18.3298,,,
6,"B7",1,0,0,1,100,0,7.47737,0,0,0,0,0,,,
6,"B8",9,0,0,9,100,0,8.88367,0,0,0,0,0,,,
6,"B9",3,0,0,3,100,0,9.13973,0,0,0,0,0,,,
6,"B12",10,1,10,9,90,48.2903,14.6079,5988,5988,48.2903,14.7591,14.7591,,,
6,"B10",,,,,,,,,,,,,,,
6,"B11",,,,,,,,,,,,,,,
7,"B1",65,2,3.07692,63,96.9231,19.3067,7.39931,7467,14934,38.6134,96.1722,48.0861,,,
7,"B2",36,23,63.8889,13,36.1111,69.1609,48.3945,28681.3,659669,1590.7,1063.61,46.2438,,,
7,"B3",10,8,80,2,20,99.3688,82.7724,94730.6,757845,794.95,695.225,86.9031,,,
7,"B4",6,3,50,3,50,34.1935,21.496,9804,29412,102.58,100.219,33.4063,,,
7,"B5",6,1,16.6667,5,83.3333,22.8488,12.1648,7860,7860,22.8488,40.9446,40.9446,,,
7,"B6",1,1,100,0,0,64.3419,64.3419,9973,9973,64.3419,18.4489,18.4489,,,
7,"B7",1,0,0,1,100,0,7.51082,0,0,0,0,0,,,
7,"B8",9,0,0,9,100,0,8.93622,0,0,0,0,0,,,
7,"B9",5,0,0,5,100,0,8.82867,0,0,0,0,0,,,
7,"B11",2,0,0,2,100,0,10.3761,0,0,0,0,0,,,
7,"B12",15,1,6.66667,14,93.3333,47.1639,13.6238,5754,5754,47.1639,14.5211,14.5211,,,
7,"B10",,,,,,,,,,,,,,,
8,"B1",72,2,2.77778,70,97.2222,19.7027,7.39568,6692.5,13385,39.4054,81.2941,40.647,,,
8,"B2",39,23,58.9744,16,41.0256,69.361,45.7041,28504.4,655601,1595.3,1049.68,45.6383,,,
8,"B3",9,8,88.8889,1,11.1111,99.4426,89.2859,96672.4,773379,795.541,703.319,87.9148,,,
8,"B4",5,2,40,3,60,36.0419,19.8205,12684.5,25369,72.0839,84.8648,42.4324,,,
8,"B5",6,1,16.6667,5,83.3333,23.2714,12.226,7889,7889,23.2714,40.3495,40.3495,,,
8,"B6",4,1,25,3,75,61.646,21.5839,9925,9925,61.646,19.163,19.163,,,
8,"B7",1,0,0,1,100,0,7.75109,0,0,0,0,0,,,
8,"B8",10,0,0,10,100,0,9.20564,0,0,0,0,0,,,
8,"B9",5,0,0,5,100,0,8.74585,0,0,0,0,0,,,
8,"B10",1,0,0,1,100,0,11.8129,0,0,0,0,0,,,
8,"B11",2,0,0,2,100,0,11.9625,0,0,0,0,0,,,
8,"B12",15,1,6.66667,14,93.3333,48.8571,13.3082,5814,5814,48.8571,14.164,14.164,,,
9,"B1",69,2,2.89855,67,97.1014,17.8939,7.24921,7565.5,15131,35.7878,106.17,53.0852,,,
9,"B2",40,25,62.5,15,37.5,65.6404,45.206,26408.7,660217,1641.01,1079.79,43.1918,,,
9,"B3",12,8,66.6667,4,33.3333,100.978,70.3077,98627.4,789019,807.827,705.461,88.1826,,,
9,"B4",6,2,33.3333,4,66.6667,37.8428,19.0634,13797.5,27595,75.6856,88.0785,44.0392,,,
9,"B5",6,1,16.6667,5,83.3333,22.2188,11.8858,7110,7110,22.2188,38.088,38.088,,,
9,"B6",4,1,25,3,75,63.0818,22.2676,10030,10030,63.0818,18.925,18.925,,,
9,"B7",2,0,0,2,100,0,8.20927,0,0,0,0,0,,,
9,"B8",10,0,0,10,100,0,9.25741,0,0,0,0,0,,,
9,"B9",5,0,0,5,100,0,9.3323,0,0,0,0,0,,,
9,"B10",1,0,0,1,100,0,14.1565,0,0,0,0,0,,,
9,"B11",3,0,0,3,100,0,12.1343,0,0,0,0,0,,,
9,"B12",15,1,6.66667,14,93.3333,46.8629,13.8417,5811,5811,46.8629,14.7591,14.7591,,,
10,"B1",70,2,2.85714,68,97.1429,17.8995,7.36925,6771,13542,35.799,94.0298,47.0149,,,
10,"B2",45,24,53.3333,21,46.6667,67.9176,41.9811,27445.3,658686,1630.02,1073.49,44.7286,,,
10,"B3",12,8,66.6667,4,33.3333,102.584,71.4404,100875,807001,820.672,710.817,88.8522,,,
10,"B4",6,2,33.3333,4,66.6667,37.1751,19.2022,15893,31786,74.3501,103.195,51.5973,,,
10,"B5",6,1,16.6667,5,83.3333,22.8765,12.2559,7778,7778,22.8765,40.4685,40.4685,,,
10,"B6",6,1,16.6667,5,83.3333,62.3861,17.4463,9857,9857,62.3861,18.806,18.806,,,
10,"B7",3,0,0,3,100,0,8.54923,0,0,0,0,0,,,
10,"B8",11,0,0,11,100,0,9.56155,0,0,0,0,0,,,
10,"B9",5,0,0,5,100,0,9.77371,0,0,0,0,0,,,
10,"B10",2,0,0,2,100,0,12.9105,0,0,0,0,0,,,
10,"B11",4,0,0,4,100,0,13.159,0,0,0,0,0,,,
10,"B12",15,1,6.66667,14,93.3333,49.4706,13.5156,5887,5887,49.4706,14.164,14.164,,,
11,"B1",69,2,2.89855,67,97.1014,17.6512,7.23352,7301.5,14603,35.3023,104.266,52.1329,,,
11,"B2",43,25,58.1395,18,41.8605,65.8833,43.2654,26239.4,655986,1647.08,1097.17,43.8869,,,
11,"B3",12,8,66.6667,4,33.3333,105.031,73.1473,103051,824408,840.248,710.817,88.8522,,,
11,"B4",6,2,33.3333,4,66.6667,38.7569,19.8229,16245,32490,77.5137,102.481,51.2403,,,
11,"B5",8,1,12.5,7,87.5,23.2632,11.598,7956,7956,23.2632,40.7066,40.7066,,,
11,"B6",7,1,14.2857,6,85.7143,60.9212,16.0432,10052,10052,60.9212,19.6391,19.6391,,,
11,"B7",4,0,0,4,100,0,8.88032,0,0,0,0,0,,,
11,"B8",11,0,0,11,100,0,9.58008,0,0,0,0,0,,,
11,"B9",5,0,0,5,100,0,10.7983,0,0,0,0,0,,,
11,"B10",5,0,0,5,100,0,12.403,0,0,0,0,0,,,
11,"B11",4,0,0,4,100,0,12.9375,0,0,0,0,0,,,
11,"B12",15,1,6.66667,14,93.3333,45.208,13.3988,5651,5651,45.208,14.8781,14.8781,,,
12,"B1",67,2,2.98507,65,97.0149,17.8091,7.2438,7292,14584,35.6182,104.504,52.252,,,
12,"B2",45,23,51.1111,22,48.8889,69.3657,41.4478,28342.9,651886,1595.41,1044.56,45.4158,,,
12,"B3",11,8,72.7273,3,27.2727,106.649,80.2163,105202,841617,853.196,713.079,89.1348,,,
12,"B4",7,2,28.5714,5,71.4286,38.6251,18.2067,15571,31142,77.2502,97.8385,48.9193,,,
12,"B5",9,1,11.1111,8,88.8889,23.4956,11.4077,7965,7965,23.4956,40.3495,40.3495,,,
12,"B6",8,1,12.5,7,87.5,64.9097,15.9974,10061,10061,64.9097,18.4489,18.4489,,,
12,"B7",4,0,0,4,100,0,8.93428,0,0,0,0,0,,,
12,"B8",12,0,0,12,100,0,9.83848,0,0,0,0,0,,,
12,"B9",6,0,0,6,100,0,10.8919,0,0,0,0,0,,,
12,"B10",5,0,0,5,100,0,12.1564,0,0,0,0,0,,,
12,"B11",4,0,0,4,100,0,13.0717,0,0,0,0,0,,,
12,"B12",17,1,5.88235,16,94.1176,47.1774,13.1912,5850,5850,47.1774,14.7591,14.7591,,,
13,"B1",71,2,2.8169,69,97.1831,18.6456,7.31156,6276,12552,37.2913,80.937,40.4685,,,
13,"B2",46,22,47.8261,24,52.1739,69.7789,39.8257,29655.7,652425,1535.13,1060.87,48.2214,,,
13,"B3",13,8,61.5385,5,38.4615,108.176,71.447,107688,861501,865.409,722.482,90.3102,,,
13,"B4",6,2,33.3333,4,66.6667,39.0239,19.8668,15646,31292,78.0478,97.3624,48.6812,,,
13,"B5",10,1,10,9,90,23.474,11.4319,8122,8122,23.474,41.1827,41.1827,,,
13,"B6",8,1,12.5,7,87.5,63.8405,16.5243,10406,10406,63.8405,19.4011,19.4011,,,
13,"B7",6,0,0,6,100,0,9.49562,0,0,0,0,0,,,
13,"B8",12,0,0,12,100,0,9.83924,0,0,0,0,0,,,
13,"B9",5,0,0,5,100,0,11.0534,0,0,0,0,0,,,
13,"B10",6,0,0,6,100,0,11.7965,0,0,0,0,0,,,
13,"B11",8,0,0,8,100,0,12.3242,0,0,0,0,0,,,
13,"B12",18,1,5.55556,17,94.4444,48.4167,13.2143,5810,5810,48.4167,14.283,14.283,,,
14,"B1",70,2,2.85714,68,97.1429,17.1794,7.16463,6885,13770,34.3589,103.433,51.7164,,,
14,"B2",44,21,47.7273,23,52.2727,67.0851,38.2298,31345,658244,1408.79,1081.46,51.4981,,,
14,"B3",13,8,61.5385,5,38.4615,110.328,72.7486,109707,877659,882.627,719.506,89.9383,,,
14,"B4",7,2,28.5714,5,71.4286,39.002,18.5974,15284.5,30569,78.0039,95.5771,47.7885,,,
14,"B5",13,1,7.69231,12,92.3077,23.5971,11.0394,8141,8141,23.5971,41.0636,41.0636,,,
14,"B6",8,1,12.5,7,87.5,58.7865,16.1476,10464,10464,58.7865,21.1864,21.1864,,,
14,"B7",7,0,0,7,100,0,9.60597,0,0,0,0,0,,,
14,"B8",11,0,0,11,100,0,10.0301,0,0,0,0,0,,,
14,"B9",7,0,0,7,100,0,11.0373,0,0,0,0,0,,,
14,"B10",6,0,0,6,100,0,11.9563,0,0,0,0,0,,,
14,"B11",9,0,0,9,100,0,12.2582,0,0,0,0,0,,,
14,"B12",17,1,5.88235,16,94.1176,47.6423,13.2709,5860,5860,47.6423,14.6401,14.6401,,,
15,"B1",69,2,2.89855,67,97.1014,16.898,7.12155,7056.5,14113,33.7961,105.813,52.9066,,,
15,"B2",48,25,52.0833,23,47.9167,67.3141,40.7404,26446.9,661173,1682.85,1094.79,43.7917,,,
15,"B3",12,8,66.6667,4,33.3333,109.789,76.5596,111872,894977,878.311,733.075,91.6344,,,
15,"B4",7,2,28.5714,5,71.4286,38.9002,18.623,15285.5,30571,77.8004,95.9341,47.9671,,,
15,"B5",12,1,8.33333,11,91.6667,24.2529,11.216,8246,8246,24.2529,40.4685,40.4685,,,
15,"B6",8,1,12.5,7,87.5,65.0625,16.8664,10410,10410,65.0625,19.044,19.044,,,
15,"B7",7,0,0,7,100,0,10.2574,0,0,0,0,0,,,
15,"B8",10,0,0,10,100,0,10.1446,0,0,0,0,0,,,
15,"B9",7,0,0,7,100,0,11.1075,0,0,0,0,0,,,
15,"B10",6,0,0,6,100,0,11.6939,0,0,0,0,0,,,
15,"B11",10,0,0,10,100,0,12.5818,0,0,0,0,0,,,
15,"B12",20,1,5,19,95,49.126,13.053,5846,5846,49.126,14.164,14.164,,,
16,"B1",68,2,2.94118,66,97.0588,17.0835,7.08988,6924,13848,34.1669,103.79,51.8949,,,
16,"B2",47,24,51.0638,23,48.9362,65.4304,38.8758,26568,637632,1570.33,1040.04,43.335,,,
16,"B3",12,8,66.6667,4,33.3333,113.21,78.6413,112897,903174,905.681,719.387,89.9234,,,
16,"B4",6,2,33.3333,4,66.6667,38.5979,19.7665,15472.5,30945,77.1958,97.6005,48.8003,,,
