"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"F1",81,1,1.23457,80,98.7654,59.814,19.6917,5144,5144,59.814,10.2361,10.2361,,,
1,"F2",326,4,1.22699,322,98.773,47.286,11.7779,1517.25,6069,189.144,15.1162,3.77904,,,
1,"F3",3,0,0,3,100,0,12.891,0,0,0,0,0,,,
1,"F4",8,0,0,8,100,0,12.3883,0,0,0,0,0,,,
1,"F5",730,34,4.65753,696,95.3425,42.9329,18.3995,3522.5,119765,1459.72,291.016,8.5593,,,
1,"F6",865,22,2.54335,843,97.4566,33.2473,11.4686,1656.95,36453,731.441,127.119,5.77812,,,
1,"F7",15,1,6.66667,14,93.3333,52.7529,17.2352,4484,4484,52.7529,10.1171,10.1171,,,
1,"F8",2706,147,5.43237,2559,94.5676,45.1229,18.2007,3840.57,564564,6633.06,1316.89,8.95845,,,
1,"F9",94,9,9.57447,85,90.4255,30.9915,16.608,1788.67,16098,278.923,61.893,6.877,,,
1,"F10",82,1,1.21951,81,98.7805,27.5385,14.1307,2506,2506,27.5385,10.8313,10.8313,,,
1,"F11",47,3,6.38298,44,93.617,56.2067,21.3944,6193.33,18580,168.62,37.3738,12.4579,,,
1,"F12",1034,2,0.193424,1032,99.8066,51.0115,12.2636,3833,7666,102.023,17.0206,8.51029,,,
2,"F1",1251,33,2.63789,1218,97.3621,40.0229,17.5613,1608.55,53082,1320.75,157.589,4.77543,,,
2,"F2",431,6,1.39211,425,98.6079,32.0596,13.2735,1008.5,6051,192.358,20.8294,3.47156,,,
2,"F3",905,19,2.09945,886,97.9006,38.8255,13.2953,1769.58,33622,737.685,100.576,5.29348,,,
2,"F4",184,3,1.63043,181,98.3696,29.2563,12.9495,973.667,2921,87.769,11.6644,3.88815,,,
2,"F5",1931,161,8.33765,1770,91.6624,41.9589,19.663,4103.14,660605,6755.38,1508.17,9.36749,,,
2,"F6",944,19,2.01271,925,97.9873,32.86,12.9185,2013.63,38259,624.339,128.547,6.76563,,,
2,"F7",91,3,3.2967,88,96.7033,35.5699,17.8145,2683,8049,106.71,26.3045,8.76818,,,
