"T Id","Well Name","# Cells","# Positive Cells","% Positive Cells","# Negative Cells","% Negative Cells","Positive Cell Average Intensities","All Cell Average Intensities","Positive Cell Integrated Intensities","Positive Cell Total Integrated Intensity","Positive Cell Total Intensity","Positive Cell Total Area","Positive Cell Average Area","Concentration","Group","Compound"
1,"F1",1,0,0,1,100,0,11.7222,0,0,0,0,0,,,
1,"F2",2,2,100,0,0,60.1154,60.1154,4226,8452,120.231,16.6635,8.33175,,,
1,"F4",421,7,1.66271,414,98.3373,44.0149,9.79412,3457.57,24203,308.104,59.7505,8.53579,,,
1,"F5",3,0,0,3,100,0,6.69488,0,0,0,0,0,,,
1,"F6",49,7,14.2857,42,85.7143,35.2535,20.5985,2874.29,20120,246.775,66.4159,9.48799,,,
1,"F7",593,1,0.168634,592,99.8314,42.0263,10.9194,1597,1597,42.0263,4.52295,4.52295,,,
1,"F8",65,0,0,65,100,0,14.5477,0,0,0,0,0,,,
1,"F9",833,17,2.04082,816,97.9592,32.672,15.1875,2373.82,40355,555.424,152.114,8.94788,,,
1,"F10",208,0,0,208,100,0,9.74078,0,0,0,0,0,,,
1,"F11",106,0,0,106,100,0,12.6676,0,0,0,0,0,,,
1,"F12",28,0,0,28,100,0,12.2657,0,0,0,0,0,,,
1,"F3",,,,,,,,,,,,,,,
2,"F1",108,0,0,108,100,0,10.5103,0,0,0,0,0,,,
2,"F2",1,1,100,0,0,65.3168,65.3168,13194,13194,65.3168,24.0431,24.0431,,,
2,"F3",496,9,1.81452,487,98.1855,35.0738,17.0695,1744.56,15701,315.664,51.5378,5.72643,,,
2,"F4",566,4,0.706714,562,99.2933,48.8623,11.3485,3532.5,14130,195.449,32.4938,8.12346,,,
2,"F5",35,0,0,35,100,0,6.83814,0,0,0,0,0,,,
2,"F6",989,12,1.21335,977,98.7867,27.2335,12.7681,1963.75,23565,326.802,100.576,8.38134,,,
2,"F7",734,1,0.13624,733,99.8638,22.2727,11.2811,980,980,22.2727,5.2371,5.2371,,,
2,"F8",1072,12,1.1194,1060,98.8806,34.4128,14.0675,11569.6,138835,412.953,258.879,21.5733,,,
2,"F9",2687,74,2.754,2613,97.246,32.7908,15.3609,2650.24,196118,2426.52,675.943,9.13436,,,
2,"F10",250,2,0.8,248,99.2,24.5413,9.31111,1449,2898,49.0826,14.7591,7.37955,,,
2,"F11",626,0,0,626,100,0,11.3187,0,0,0,0,0,,,
2,"F12",42,0,0,42,100,0,11.7283,0,0,0,0,0,,,
3,"F1",204,0,0,204,100,0,10.4288,0,0,0,0,0,,,
3,"F2",26,2,7.69231,24,92.3077,67.5719,16.3802,6550,13100,135.144,22.9718,11.4859,,,
3,"F3",1856,19,1.02371,1837,98.9763,33.2147,16.2742,1600.37,30407,631.08,115.097,6.05775,,,
3,"F4",667,7,1.04948,660,98.9505,56.9645,11.7964,34306.4,240145,398.751,284.47,40.6385,,,
3,"F5",66,1,1.51515,65,98.4848,51.9815,7.65668,8421,8421,51.9815,19.282,19.282,,,
3,"F6",2860,28,0.979021,2832,99.021,28.265,13.4622,1483.82,41547,791.42,174.61,6.23606,,,
3,"F7",885,1,0.112994,884,99.887,17.5833,11.4434,1266,1266,17.5833,8.5698,8.5698,,,
3,"F8",2828,26,0.919378,2802,99.0806,33.1769,13.7779,2198.38,57158,862.6,201.866,7.76409,,,
3,"F9",4529,116,2.56127,4413,97.4387,32.3511,15.3794,2262.66,262468,3752.73,914.112,7.88028,,,
3,"F10",241,0,0,241,100,0,9.42856,0,0,0,0,0,,,
3,"F11",790,2,0.253165,788,99.7468,21.8435,11.7225,1327,2654,43.687,14.402,7.20101,,,
3,"F12",77,1,1.2987,76,98.7013,18.8382,12.3285,1281,1281,18.8382,8.0937,8.0937,,,
4,"F1",326,0,0,326,100,0,11.0067,0,0,0,0,0,,,
4,"F2",89,1,1.1236,88,98.8764,67.4755,11.8402,13765,13765,67.4755,24.2811,24.2811,,,
4,"F3",3185,31,0.973312,3154,99.0267,36.8214,15.9974,2870.55,88987,1141.46,241.502,7.79038,,,
4,"F4",1367,10,0.731529,1357,99.2685,33.3117,12.1321,2535.8,25358,333.117,80.5799,8.05799,,,
4,"F5",73,1,1.36986,72,98.6301,51.3187,7.41627,8211,8211,51.3187,19.044,19.044,,,
4,"F6",4936,28,0.567261,4908,99.4327,27.8869,13.5847,1684.86,47176,780.833,189.607,6.77167,,,
4,"F7",1122,3,0.26738,1119,99.7326,51.3179,11.8144,53387.3,160162,153.954,189.845,63.2816,,,
4,"F8",4317,26,0.60227,4291,99.3977,30.5452,13.5448,4317.12,112245,794.176,272.686,10.4879,,,
4,"F9",6106,107,1.75237,5999,98.2476,34.7115,15.1759,3268.02,349678,3714.13,1006,9.40186,,,
4,"F10",237,0,0,237,100,0,9.49501,0,0,0,0,0,,,
4,"F11",782,2,0.255754,780,99.7442,29.9121,11.9987,1152.5,2305,59.8241,10.4742,5.2371,,,
4,"F12",109,1,0.917431,108,99.0826,17.9143,12.7437,1254,1254,17.9143,8.33175,8.33175,,,
5,"F1",595,1,0.168067,594,99.8319,24.3333,11.186,657,657,24.3333,3.21368,3.21368,,,
5,"F2",318,6,1.88679,312,98.1132,48.9776,12.5962,4779.67,28678,293.866,63.4403,10.5734,,,
5,"F3",4359,26,0.596467,4333,99.4035,37.893,15.6463,2812.85,73134,985.219,188.536,7.25137,,,
5,"F4",2543,15,0.589854,2528,99.4101,39.5079,12.5669,18594.6,278919,592.619,390.878,26.0585,,,
5,"F5",74,0,0,74,100,0,7.05915,0,0,0,0,0,,,
5,"F6",6813,27,0.396301,6786,99.6037,29.4915,13.332,1646.41,44453,796.27,176.99,6.55519,,,
5,"F7",1445,3,0.207612,1442,99.7924,30.4418,12.2538,3445.33,10336,91.3255,29.5182,9.8394,,,
5,"F8",5508,26,0.472041,5482,99.528,35.1085,13.555,4565.54,118704,912.82,270.187,10.3918,,,
5,"F9",7474,110,1.47177,7364,98.5282,34.0105,15.0133,2999.23,329915,3741.15,994.454,9.04049,,,
5,"F10",241,0,0,241,100,0,10.5698,0,0,0,0,0,,,
5,"F11",831,7,0.842359,824,99.1576,34.2942,12.3548,1464.29,10250,240.059,35.2314,5.03306,,,
5,"F12",160,1,0.625,159,99.375,74.2398,13.7699,36526,36526,74.2398,58.5603,58.5603,,,
6,"F1",877,1,0.114025,876,99.886,22.7813,11.3942,729,729,22.7813,3.8088,3.8088,,,
6,"F2",862,5,0.580046,857,99.42,55.3139,11.6229,5590.8,27954,276.569,56.4179,11.2836,,,
6,"F3",5226,45,0.861079,5181,99.1389,38.0706,15.6044,4271.6,192222,1713.18,328.509,7.3002,,,
6,"F4",3465,23,0.663781,3442,99.3362,37.314,12.7196,11417.1,262594,858.221,377.904,16.4306,,,
6,"F5",74,0,0,74,100,0,7.00944,0,0,0,0,0,,,
6,"F6",8014,23,0.286998,7991,99.713,27.2432,12.9598,1528.52,35156,626.594,150.686,6.55155,,,
6,"F7",1756,8,0.455581,1748,99.5444,24.1621,12.3737,1032.13,8257,193.296,40.8256,5.1032,,,
6,"F8",6401,18,0.281206,6383,99.7188,32.8662,13.4122,3934.22,70816,591.592,184.37,10.2428,,,
6,"F9",8479,149,1.75728,8330,98.2427,35.1318,14.9985,2975.42,443337,5234.63,1286.18,8.63211,,,
6,"F10",432,0,0,432,100,0,10.8463,0,0,0,0,0,,,
6,"F11",994,6,0.603622,988,99.3964,28.2307,12.4043,1773.83,10643,169.384,44.8724,7.47874,,,
6,"F12",225,0,0,225,100,0,13.6983,0,0,0,0,0,,,
7,"F1",1051,1,0.0951475,1050,99.9049,19.7059,11.509,1005,1005,19.7059,6.07027,6.07027,,,
7,"F2",1323,6,0.453515,1317,99.5465,56.8039,11.4328,8573.67,51442,340.823,95.101,15.8502,,,
7,"F3",5882,61,1.03706,5821,98.9629,40.1892,15.4725,3974.62,242452,2451.54,439.559,7.20589,,,
7,"F4",4351,22,0.505631,4329,99.4944,37.7715,12.7075,14183.5,312037,830.972,459.556,20.8889,,,
7,"F5",76,1,1.31579,75,98.6842,20.4667,7.21671,614,614,20.4667,3.57075,3.57075,,,
7,"F6",9091,19,0.208998,9072,99.791,25.3693,12.5508,1328.68,25245,482.017,118.192,6.22062,,,
7,"F7",2101,4,0.190386,2097,99.8096,43.2102,12.506,42270,169080,172.841,200.795,50.1988,,,
7,"F8",7071,32,0.452553,7039,99.5474,34.7503,13.354,3809.16,121893,1112.01,318.511,9.95347,,,
7,"F9",9442,145,1.53569,9297,98.4643,34.6059,14.8177,2851.92,413529,5017.85,1233.22,8.50495,,,
7,"F10",952,0,0,952,100,0,10.9587,0,0,0,0,0,,,
7,"F11",1271,10,0.786782,1261,99.2132,26.8412,12.4857,1352.9,13529,268.412,61.6549,6.16549,,,
7,"F12",271,0,0,271,100,0,14.7018,0,0,0,0,0,,,
8,"F1",1144,5,0.437063,1139,99.5629,27.6217,11.6356,1540.2,7701,138.108,30.8275,6.16549,,,
