"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"E1",963,148604,154.313,2600090,2699.99,1834.65,1.90514,,,
1,"E2",1209,177763,147.033,2680910,2217.46,2066.99,1.70967,,,
1,"E3",790,140867,178.313,2342980,2965.8,1396.04,1.76714,,,
1,"E4",388,67922,175.057,1117000,2878.86,692.487,1.78476,,,
1,"E5",696,112778,162.037,1861090,2673.98,1273.21,1.82933,,,
1,"E6",2262,369389,163.302,6090040,2692.33,4149.09,1.83426,,,
1,"E7",1948,343495,176.332,6294040,3231.03,3723.1,1.91124,,,
1,"E8",1929,263338,136.515,4483060,2324.03,3611.58,1.87225,,,
1,"E9",7582,1091340,143.939,1.82392E+07,2405.59,14213.3,1.8746,,,
1,"E10",1575,204338,129.738,2807280,1782.4,2336.82,1.48369,,,
1,"E11",1057,167466,158.436,2946600,2787.7,1947.13,1.84213,,,
1,"E12",708,125588,177.385,2513470,3550.1,1508.52,2.13068,,,
2,"E1",1304,295625,226.706,5597820,4292.81,2674.49,2.05099,,,
2,"E2",1503,296284,197.128,5100230,3393.37,2828.75,1.88207,,,
2,"E3",966,235807,244.107,4422940,4578.61,1954.27,2.02306,,,
2,"E4",618,155095,250.963,2959960,4789.58,1284.52,2.07851,,,
2,"E5",804,180225,224.16,3412110,4243.92,1620.76,2.01587,,,
2,"E6",1781,346231,194.402,6467930,3631.63,3516,1.97417,,,
2,"E7",3252,594339,182.761,1.07085E+07,3292.9,6176.09,1.89917,,,
2,"E8",1716,244648,142.569,4222740,2460.8,3268.9,1.90495,,,
2,"E9",3758,589133,156.768,1.02695E+07,2732.71,7127.46,1.89661,,,
2,"E10",1391,228891,164.552,3743530,2691.25,2285.99,1.64342,,,
2,"E11",1417,258776,182.622,4927910,3477.7,2756.02,1.94497,,,
2,"E12",1330,280004,210.529,5788790,4352.47,2986.93,2.24581,,,
3,"E1",2395,542097,226.345,9741360,4067.37,4743.03,1.98039,,,
3,"E2",1138,266755,234.407,4897550,4303.65,2304.44,2.02499,,,
3,"E3",1248,335299,268.669,6187640,4958.04,2537.73,2.03344,,,
3,"E4",841,248207,295.133,4985760,5928.37,1881.31,2.23699,,,
3,"E5",791,202235,255.67,4120550,5209.3,1731.34,2.1888,,,
3,"E6",2920,586203,200.754,1.07377E+07,3677.3,5734.74,1.96395,,,
3,"E7",3247,627693,193.315,1.1455E+07,3527.86,6268.21,1.93046,,,
3,"E8",2939,412283,140.28,6758960,2299.75,5284.71,1.79813,,,
3,"E9",6726,1047980,155.81,1.81952E+07,2705.2,12764.6,1.8978,,,
3,"E10",1682,299493,178.057,5061920,3009.47,2862.91,1.70209,,,
3,"E11",2936,507543,172.869,8631180,2939.78,5237.7,1.78396,,,
3,"E12",1028,260344,253.252,5693730,5538.65,2405.85,2.34032,,,
4,"E1",1846,492243,266.654,9316790,5047.02,3884.14,2.10409,,,
4,"E2",1499,342461,228.46,6117030,4080.74,2936.23,1.95879,,,
4,"E3",1382,382981,277.121,7144020,5169.34,2858.62,2.06847,,,
4,"E4",640,91142.3,142.41,1467850,2293.51,1164.78,1.81997,,,
4,"E5",1100,279772,254.339,5335060,4850.05,2287.54,2.07958,,,
