"T Id","Well Name","Cell Count","Cell Total Intensity","Cell Average Intensity","Cell Total Integrated Intensity","Cell Average Integrated Intensity","Total Area","Average Area","Concentration","Group","Compound"
1,"C1",6,97.4843,16.2474,20382,3397,148.781,24.7969,,,
1,"C2",35,875.008,25.0002,269089,7688.26,1242.74,35.5069,,,
1,"C3",26,1195.46,45.9791,636515,24481.3,1319.99,50.7687,,,
1,"C4",21,442.594,21.0759,129937,6187.48,689.036,32.8112,,,
1,"C5",16,383.295,23.9559,130275,8142.19,624.405,39.0253,,,
1,"C7",13,407.18,31.3215,205832,15833.2,645.473,49.6517,,,
1,"C8",7,141.995,20.285,38283,5469,225.076,32.1538,,,
1,"C9",7,411.057,58.7224,356836,50976.6,506.451,72.3502,,,
1,"C10",5,119.115,23.823,39163,7832.6,196.629,39.3259,,,
1,"C11",12,262.759,21.8966,86874,7239.5,452.295,37.6912,,,
1,"C12",11,250.2,22.7455,78765,7160.45,387.902,35.2639,,,
1,"C6",,,,,,,,,,
2,"C1",5,85.9813,17.1963,20530,4106,139.616,27.9233,,,
2,"C2",31,773.183,24.9414,251386,8109.23,1146.69,36.9899,,,
2,"C3",28,1218.28,43.51,632584,22592.3,1350.46,48.2306,,,
2,"C4",21,476.898,22.7094,148137,7054.14,740.812,35.2767,,,
2,"C5",19,447.052,23.5291,158674,8351.26,764.617,40.243,,,
2,"C7",12,350.156,29.1797,208861,17405.1,661.779,55.1483,,,
2,"C8",7,138.617,19.8025,37481,5354.43,224.6,32.0857,,,
2,"C9",8,470.87,58.8588,355856,44482,520.615,65.0769,,,
2,"C10",5,118.937,23.7873,38782,7756.4,195.201,39.0402,,,
2,"C11",11,227.259,20.6599,75358,6850.73,417.302,37.9365,,,
2,"C12",12,263.808,21.984,81981,6831.75,415.635,34.6363,,,
2,"C6",,,,,,,,,,
3,"C1",4,69.1342,17.2836,17001,4250.25,114.978,28.7445,,,
3,"C2",27,704.256,26.0835,208206,7711.33,927.919,34.3674,,,
3,"C3",29,1240.38,42.7718,628675,21678.4,1357.24,46.8014,,,
3,"C4",24,527.49,21.9787,172261,7177.54,873.882,36.4117,,,
3,"C5",19,446.607,23.5056,165370,8703.68,788.66,41.5084,,,
3,"C7",11,298.895,27.1723,207212,18837.5,658.684,59.8804,,,
3,"C8",7,133.222,19.0317,34401,4914.43,213.174,30.4534,,,
3,"C9",8,465.545,58.1931,354990,44373.8,522.758,65.3447,,,
3,"C10",6,137.595,22.9324,44585,7430.83,231.623,38.6038,,,
3,"C11",10,214.974,21.4974,72515,7251.5,389.569,38.9569,,,
3,"C12",11,250.232,22.7483,78777,7161.55,385.641,35.0583,,,
3,"C6",,,,,,,,,,
4,"C1",5,85.0556,17.0111,22842,4568.4,158.184,31.6368,,,
4,"C2",26,643.849,24.7634,211305,8127.12,968.625,37.2548,,,
4,"C3",27,1192.16,44.1539,620596,22985,1327.96,49.1838,,,
4,"C4",28,612.415,21.872,175095,6253.39,903.281,32.26,,,
4,"C5",17,406.894,23.9349,149956,8820.94,707.128,41.5957,,,
4,"C7",11,296.381,26.9437,196701,17881.9,631.071,57.37,,,
4,"C8",7,137.755,19.6792,36985,5283.57,221.982,31.7117,,,
4,"C9",7,379.023,54.1461,313426,44775.1,472.886,67.5552,,,
4,"C10",6,135.178,22.5297,43518,7253,229.361,38.2269,,,
4,"C11",11,231.299,21.0271,76885,6989.55,420.753,38.2503,,,
